,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,7,7,7,7,7,7,7
2,1,3,3,5,5,5,5,5,5,5,5,5
3,0,3,3,3,3,3,3,3,3,3,3,3
4,0,0,0,0,0,0,7,7,10,10,12,12
5,1,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,3,7,7,7,7,7,7,7
7,2,2,2,2,2,2,2,2,2,2,2,2
8,0,3,3,3,3,3,3,3,3,2,3,3
9,1,1,1,1,1,1,1,1,1,1,1,1
10,0,3,0,3,6,6,7,7,10,10,12,12
11,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0,0,3,6,3,7,3,10,10,12,12
13,1,1,1,1,1,1,1,1,1,1,1,1
14,1,0,0,0,6,6,6,6,6,11,11,11
15,1,3,3,3,6,6,6,6,6,6,6,6
16,1,3,3,3,3,7,8,8,8,8,8,8
17,1,3,3,4,6,6,6,6,6,11,11,11
18,0,3,3,3,3,7,8,8,8,8,8,8
19,0,0,0,3,3,3,3,9,9,9,9,9
20,2,2,0,5,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1,1,1
22,0,0,0,5,5,5,5,5,5,5,5,5
23,2,2,2,2,2,2,2,2,2,2,2,2
24,2,2,2,2,2,2,2,2,2,2,2,2
25,0,3,3,3,3,3,3,3,3,3,3,3
26,1,3,3,3,6,6,6,6,6,6,6,6
27,0,3,3,3,3,3,3,9,9,9,9,9
28,1,1,3,1,1,1,1,1,1,1,1,1
29,2,2,4,4,4,4,4,9,9,9,9,13
30,0,3,3,3,3,3,3,3,3,3,3,3
31,2,3,3,5,5,5,5,5,5,5,5,5
32,0,3,3,5,5,5,5,5,5,5,5,5
33,2,2,2,2,2,2,2,2,2,2,2,2
34,2,2,4,4,4,4,4,4,4,4,4,4
35,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1
37,0,0,0,0,0,0,0,0,10,10,10,10
38,0,0,4,4,0,0,0,4,10,10,10,10
39,1,3,3,3,3,7,8,8,8,8,8,8
40,2,2,4,4,4,4,4,4,4,4,4,4
41,0,0,4,4,4,4,4,4,4,4,4,13
42,2,0,4,4,4,4,4,4,4,4,4,4
43,0,0,0,0,6,7,7,7,7,7,7,11
44,2,2,4,4,4,4,4,4,4,4,4,4
45,1,0,0,0,6,6,6,6,6,6,6,6
46,2,2,2,2,2,2,2,2,2,2,2,2
47,0,0,0,0,0,4,4,0,0,0,0,13
48,0,2,0,0,0,0,0,0,10,10,3,3
49,2,2,2,2,2,2,2,2,2,2,2,2
50,2,2,2,2,2,2,2,2,2,2,2,2
51,0,0,0,0,0,0,0,0,0,11,11,11
52,1,1,1,1,1,1,1,1,1,1,1,1
53,2,2,2,2,2,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
