,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,7,7,7,7,7,7,7,2,1
2,1,3,3,5,5,5,5,5,5,5,5,5,2,2
3,0,3,3,3,3,3,3,3,3,3,3,3,2,2
4,0,0,0,0,0,0,7,7,10,10,12,12,1,3
5,1,1,1,1,1,1,1,1,1,1,1,1,1,3
6,0,0,0,0,3,7,7,7,7,7,7,7,2,1
7,2,2,2,2,2,2,2,2,2,2,2,2,3,4
8,0,3,3,3,3,3,3,3,3,2,3,3,3,4
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,3,0,3,6,6,7,7,10,10,12,12,2,3
11,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,0,0,0,3,6,3,7,3,10,10,12,12,2,3
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,1,0,0,0,6,6,6,6,6,11,11,11,0,5
15,1,3,3,3,6,6,6,6,6,6,6,6,0,5
16,1,3,3,3,3,7,8,8,8,8,8,8,0,6
17,1,3,3,4,6,6,6,6,6,11,11,11,0,5
18,0,3,3,3,3,7,8,8,8,8,8,8,0,6
19,0,0,0,3,3,3,3,9,9,9,9,9,2,1
20,2,2,0,5,5,5,5,5,5,5,5,5,2,7
21,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22,0,0,0,5,5,5,5,5,5,5,5,5,2,7
23,2,2,2,2,2,2,2,2,2,2,2,2,3,4
24,2,2,2,2,2,2,2,2,2,2,2,2,3,4
25,0,3,3,3,3,3,3,3,3,3,3,3,2,2
26,1,3,3,3,6,6,6,6,6,6,6,6,0,5
27,0,3,3,3,3,3,3,9,9,9,9,9,2,1
28,1,1,3,1,1,1,1,1,1,1,1,1,1,2
29,2,2,4,4,4,4,4,9,9,9,9,13,3,4
30,0,3,3,3,3,3,3,3,3,3,3,3,2,2
31,2,3,3,5,5,5,5,5,5,5,5,5,2,7
32,0,3,3,5,5,5,5,5,5,5,5,5,2,2
33,2,2,2,2,2,2,2,2,2,2,2,2,3,4
34,2,2,4,4,4,4,4,4,4,4,4,4,3,8
35,1,1,1,1,1,1,1,1,1,1,1,1,1,0
36,1,1,1,1,1,1,1,1,1,1,1,1,1,8
37,0,0,0,0,0,0,0,0,10,10,10,10,3,8
38,0,0,4,4,0,0,0,4,10,10,10,10,3,8
39,1,3,3,3,3,7,8,8,8,8,8,8,0,6
40,2,2,4,4,4,4,4,4,4,4,4,4,3,8
41,0,0,4,4,4,4,4,4,4,4,4,13,3,8
42,2,0,4,4,4,4,4,4,4,4,4,4,3,8
43,0,0,0,0,6,7,7,7,7,7,7,11,2,1
44,2,2,4,4,4,4,4,4,4,4,4,4,3,8
45,1,0,0,0,6,6,6,6,6,6,6,6,0,5
46,2,2,2,2,2,2,2,2,2,2,2,2,0,4
47,0,0,0,0,0,4,4,0,0,0,0,13,3,8
48,0,2,0,0,0,0,0,0,10,10,3,3,3,8
49,2,2,2,2,2,2,2,2,2,2,2,2,3,4
50,2,2,2,2,2,2,2,2,2,2,2,2,3,4
51,0,0,0,0,0,0,0,0,0,11,11,11,0,8
52,1,1,1,1,1,1,1,1,1,1,1,1,1,0
53,2,2,2,2,2,2,2,2,2,2,2,2,3,4
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.12061306728272575,0.1392657344376,0.1505925684812622,0.16880108679599212,0.17926986850547152,0.18897013013036074,0.19557747250228827,0.18546106718704702,0.1856553110860742,0.18273141812505347,0.18438154379724983,0.17998308687140144,0.22930187897112017,0.1869537342195296
NMI,0.40464959304806319,0.4671871524728895,0.46714656499380613,0.51009179002976235,0.55036107299572956,0.61927228100177589,0.68046679840210555,0.65025633012921402,0.61568230075611297,0.64740988917361286,0.64565076821444045,0.64027551624527823,1.0,0.63621733600503927
