,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,2,3,4,4,4,0,0
1,0,2,2,4,6,0,1
2,2,3,4,4,4,0,0
3,1,3,3,3,3,1,2
4,2,3,4,4,4,0,0
5,1,3,4,4,4,0,3
6,1,3,3,3,6,1,1
7,1,3,3,3,3,1,2
8,2,1,1,1,1,2,3
9,2,3,3,4,4,1,4
10,1,3,3,3,3,1,2
11,2,1,1,1,1,2,3
12,1,3,3,3,3,1,2
13,1,3,3,3,3,1,2
14,1,3,3,3,3,1,4
15,1,3,3,3,3,1,2
16,1,3,3,3,3,1,2
17,1,3,3,3,3,1,2
18,1,3,3,3,3,1,2
19,1,3,3,3,3,1,2
20,1,3,3,3,3,1,2
21,1,3,3,3,3,1,1
22,1,3,3,3,3,1,2
23,1,3,3,3,3,1,2
24,1,3,3,3,1,1,2
25,2,1,1,1,1,2,5
26,1,3,3,3,3,1,4
27,2,1,1,1,1,2,3
28,2,2,2,2,2,2,6
29,2,2,2,2,2,2,6
30,0,2,2,2,3,2,4
31,2,2,4,2,6,2,6
32,2,2,1,1,1,2,6
33,2,1,1,1,1,2,5
34,2,1,1,1,1,2,3
35,2,0,4,5,5,2,6
36,2,1,1,5,5,2,7
37,2,1,1,5,5,2,7
38,2,1,1,1,1,2,3
39,2,1,1,1,1,2,5
40,2,1,1,1,1,2,3
41,2,1,1,1,1,2,3
42,2,1,1,1,1,2,3
43,2,1,1,1,1,2,3
44,2,1,1,1,1,2,5
45,2,1,1,1,1,2,3
46,2,1,3,3,3,2,3
47,2,1,1,1,1,2,5
48,2,1,1,1,1,2,5
49,2,1,1,1,1,2,5
50,2,2,2,2,2,2,6
51,2,2,2,2,2,2,6
52,2,2,2,2,2,2,6
53,2,1,1,1,1,2,3
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.056415579080920764,0.06154526776228103,0.06622530884040785,0.06316554787786709,0.05762204871732599,0.07297931552557624,0.04094049499983763
NMI,0.6455031963520238,0.65656428737929906,0.67221798372141195,0.69865771711645619,0.52775372416339805,1.0,0.58941863331957678
