,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,4,3,0
1,0,0,0,0,6,5,6,6,6,10,10,6,2,1
2,1,1,1,1,1,1,1,1,1,1,1,1,3,2
3,2,2,2,2,2,2,2,2,2,2,2,2,1,3
4,0,0,4,4,4,4,4,4,4,4,4,4,3,0
5,0,0,0,0,4,4,8,8,8,8,8,8,0,4
6,0,0,0,0,0,5,6,6,6,10,10,6,2,1
7,0,0,0,4,6,6,6,6,6,10,10,6,2,1
8,0,0,0,4,5,6,5,5,5,5,5,5,2,5
9,0,0,0,0,6,7,7,7,7,7,7,7,1,6
10,1,1,4,5,4,7,8,8,8,8,8,13,0,4
11,0,0,0,0,5,6,8,8,8,8,8,8,0,4
12,1,3,3,3,3,3,8,8,8,8,8,13,0,4
13,0,0,0,0,0,7,0,0,10,11,0,0,0,4
14,1,3,3,3,3,3,3,3,3,3,3,3,0,7
15,1,3,3,3,3,3,3,3,3,3,3,3,0,7
16,1,3,3,3,3,3,3,3,3,3,3,3,0,4
17,1,3,3,3,3,3,3,3,3,3,3,3,0,7
18,1,3,3,3,3,3,3,3,3,3,3,3,0,7
19,1,3,3,3,3,3,3,7,7,7,12,12,0,4
20,1,3,3,3,3,3,3,3,3,3,3,3,0,7
21,1,3,3,3,3,3,8,8,8,8,8,8,0,4
22,0,3,3,3,3,3,3,3,3,3,3,3,0,2
23,0,0,0,5,6,7,7,7,7,7,7,7,1,6
24,1,1,1,1,1,1,1,1,1,1,1,1,3,2
25,0,3,3,3,3,3,3,3,3,3,3,13,0,7
26,1,1,1,1,1,1,1,1,1,1,1,1,3,2
27,0,0,0,3,3,3,7,7,7,9,12,12,0,4
28,2,2,2,2,2,2,2,2,2,2,2,2,1,8
29,1,1,1,1,6,5,6,1,10,11,11,11,3,8
30,2,2,2,2,2,2,2,2,2,2,2,2,1,3
31,2,2,2,2,2,2,2,2,2,2,2,2,1,3
32,2,2,2,2,2,2,2,2,2,2,2,2,1,3
33,2,2,2,2,2,2,2,2,2,2,2,2,1,3
34,1,1,4,5,6,5,6,9,10,11,11,11,3,8
35,0,0,4,4,4,4,4,4,4,4,4,4,3,0
36,0,3,4,4,5,6,5,5,5,5,5,5,2,5
37,0,0,0,0,0,0,0,6,9,6,9,9,0,4
38,1,0,4,5,6,5,6,9,10,11,11,11,3,8
39,1,1,4,5,6,5,6,9,10,11,6,10,3,8
40,1,1,4,5,6,5,6,9,10,11,9,11,3,8
41,0,0,4,5,6,5,6,9,9,9,9,9,3,8
42,0,0,4,5,6,5,6,9,9,9,9,9,3,8
43,1,1,1,1,1,1,1,1,1,1,1,1,3,2
44,1,1,1,1,6,5,1,1,10,6,6,10,3,8
45,1,1,1,1,1,1,1,1,1,1,1,1,3,2
46,0,0,0,4,5,6,5,5,5,5,5,5,2,5
47,1,0,4,0,5,6,5,7,0,6,6,10,3,8
48,1,1,1,1,1,1,1,1,1,1,1,1,3,2
49,2,2,2,2,2,2,2,2,2,2,2,2,1,3
50,1,1,1,1,1,1,1,1,1,1,1,1,3,2
51,1,1,1,1,1,1,1,1,1,1,1,1,3,2
52,1,1,1,1,4,4,8,8,8,8,8,8,3,4
53,1,1,4,5,6,5,6,9,10,11,11,11,3,8
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09953697612026059,0.1800995693436138,0.19859500741072458,0.19941085790329663,0.19657731472151108,0.2108075850924468,0.19753938630427303,0.1966898197771076,0.18727834961664322,0.18407552140506633,0.1826479498312123,0.17433171532120126,0.23559645153663555,0.19829096235008387
NMI,0.4115118042429437,0.52282965175670482,0.64321071293283161,0.59328601460470276,0.57256016497026629,0.62532949960501816,0.63274335160447204,0.65070518469401784,0.63585319341172908,0.6210330707470838,0.67276448506807551,0.66928735414584084,1.0,0.67683830671433565
