,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,0,0,6,6,6,6,6,6
1,1,3,3,3,3,7,7,7,7,7
2,1,3,3,3,3,3,3,3,3,3
3,1,1,1,1,1,1,8,8,8,8
4,0,0,0,5,6,6,6,6,6,6
5,1,1,2,2,2,2,2,2,2,2
6,0,2,2,2,2,7,7,7,7,7
7,1,1,2,2,5,7,7,7,7,7
8,1,1,2,2,2,2,1,1,1,1
9,0,1,1,1,1,1,8,8,8,8
10,1,1,3,3,3,3,3,3,3,3
11,2,2,1,1,1,1,1,1,1,1
12,1,1,2,2,2,2,2,2,2,2
13,1,1,1,1,1,1,8,8,8,8
14,0,0,0,0,0,0,0,9,9,9
15,1,1,2,2,2,2,2,2,2,2
16,0,3,2,2,2,2,2,2,2,2
17,1,1,2,2,2,2,2,2,2,2
18,1,1,2,2,2,2,2,2,2,2
19,1,1,2,2,2,2,2,2,2,2
20,1,3,3,3,3,3,3,3,3,3
21,1,1,2,2,2,7,7,7,7,7
22,1,3,3,3,3,3,3,3,3,3
23,0,1,1,1,1,1,8,8,8,8
24,2,3,4,4,4,4,4,4,4,4
25,1,1,2,2,2,7,7,9,9,9
26,0,1,1,2,6,6,8,9,10,10
27,2,2,1,1,1,4,4,4,4,4
28,1,3,2,2,2,2,2,2,1,1
29,2,2,1,4,5,4,4,4,4,5
30,1,3,3,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3,3,3
32,1,3,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3,3
34,2,2,4,4,4,4,4,4,4,4
35,2,2,4,4,6,6,6,6,6,6
36,2,2,1,1,1,1,1,1,1,1
37,0,1,0,1,1,1,1,1,1,11
38,1,1,1,1,1,1,1,1,9,11
39,2,2,1,1,1,1,1,1,1,11
40,2,2,1,5,5,5,5,5,5,5
41,1,1,2,5,5,5,5,5,5,5
42,1,1,2,5,5,5,5,5,5,5
43,2,2,4,4,4,4,4,4,4,4
44,2,2,1,1,1,1,1,4,1,4
45,0,0,0,5,0,0,4,9,10,10
46,2,2,4,4,4,4,4,4,4,4
47,2,2,1,1,1,1,1,1,1,1
48,2,2,1,1,1,1,1,1,1,1
49,2,2,3,3,3,3,3,3,3,3
50,2,2,4,4,4,4,4,4,4,4
51,2,2,4,4,4,4,4,4,4,4
52,2,3,4,4,4,4,4,4,4,4
53,2,2,4,4,4,4,4,4,4,4
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
