,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,2,2,5,5,5,5
1,1,2,2,2,6,7,7,7
2,2,2,2,2,5,5,5,5
3,2,3,3,3,3,3,3,3
4,2,2,2,2,5,5,5,5
5,2,2,2,2,5,5,5,5
6,0,1,1,4,6,7,7,7
7,0,0,4,4,6,6,6,6
8,0,0,4,4,6,6,6,6
9,2,3,3,3,3,3,3,3
10,0,3,3,3,3,3,3,3
11,2,2,2,2,5,5,5,9
12,0,3,3,4,6,7,7,7
13,2,3,3,3,3,3,3,3
14,2,3,3,5,2,2,2,2
15,2,2,2,5,2,2,2,2
16,2,2,2,5,2,2,2,2
17,2,2,2,5,2,2,2,2
18,2,2,2,5,2,2,2,2
19,2,2,4,5,2,2,8,8
20,2,2,4,5,4,4,4,4
21,2,3,3,5,6,7,7,7
22,2,2,1,1,2,2,2,2
23,1,3,3,3,3,3,3,3
24,1,3,3,3,3,3,3,3
25,1,3,3,3,3,3,8,8
26,2,3,3,5,2,2,2,2
27,2,2,2,2,5,5,5,5
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,4,4,4,4,4,4
31,0,0,4,4,4,4,4,4
32,1,1,4,4,4,4,4,4
33,1,1,2,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,2,2,2,2,5,5,5,5
36,1,1,1,1,1,1,1,1
37,1,1,1,5,6,1,8,8
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,0,0,0,5,6,4,8,8
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,9
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,1
