,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,1,0,5,5,5,7,7,7
1,1,0,1,5,5,7,5,5,5
2,2,2,2,4,2,5,7,7,7
3,0,3,4,4,1,1,4,4,10
4,0,0,0,5,5,5,7,7,7
5,2,2,2,2,2,2,2,2,2
6,1,1,1,5,5,7,5,5,5
7,0,3,0,5,6,6,6,9,9
8,0,0,2,5,6,6,6,9,9
9,2,3,4,4,1,1,4,4,10
10,0,0,0,5,5,5,7,7,7
11,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2
13,2,3,3,3,3,3,3,3,10
14,2,2,2,2,2,2,2,2,2
15,2,2,4,4,1,1,4,4,10
16,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
19,2,3,4,4,1,1,4,4,10
20,2,2,2,2,2,2,2,2,4
21,0,0,1,5,5,7,5,5,5
22,2,2,2,4,1,1,4,4,4
23,1,1,3,3,3,3,3,3,3
24,1,1,3,3,3,3,3,3,3
25,2,2,2,2,2,2,2,2,2
26,0,1,3,3,3,3,3,6,6
27,1,1,1,1,4,4,1,1,1
28,2,2,4,4,1,1,4,4,4
29,1,1,1,1,4,4,1,1,1
30,2,2,4,4,1,1,4,4,4
31,2,2,4,4,1,1,4,4,4
32,2,2,4,4,1,1,4,4,4
33,2,3,4,4,1,1,4,4,4
34,0,1,4,5,6,6,6,9,10
35,1,3,1,1,4,4,1,1,1
36,0,0,0,5,6,6,6,9,9
37,0,3,1,1,4,4,3,6,4
38,1,3,1,1,4,4,8,8,8
39,1,3,1,1,4,4,1,1,1
40,0,3,4,4,4,4,8,8,8
41,1,3,2,2,4,4,8,8,8
42,1,3,1,1,4,4,8,8,8
43,1,1,3,3,4,4,1,6,6
44,1,1,1,1,4,4,1,1,1
45,1,1,3,3,6,6,6,6,6
46,1,1,3,3,3,3,3,3,3
47,2,2,2,2,2,2,2,2,2
48,1,1,1,1,4,4,1,1,1
49,2,2,1,1,4,4,1,1,1
50,1,1,1,1,4,4,1,1,1
51,1,1,3,3,3,3,3,3,3
52,1,1,3,3,3,3,3,3,3
53,1,1,1,1,4,4,1,1,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
