,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
0,2,3,4,4,4
1,0,2,2,4,6
2,2,3,4,4,4
3,1,3,3,3,3
4,2,3,4,4,4
5,1,3,4,4,4
6,1,3,3,3,6
7,1,3,3,3,3
8,2,1,1,1,1
9,2,3,3,4,4
10,1,3,3,3,3
11,2,1,1,1,1
12,1,3,3,3,3
13,1,3,3,3,3
14,1,3,3,3,3
15,1,3,3,3,3
16,1,3,3,3,3
17,1,3,3,3,3
18,1,3,3,3,3
19,1,3,3,3,3
20,1,3,3,3,3
21,1,3,3,3,3
22,1,3,3,3,3
23,1,3,3,3,3
24,1,3,3,3,1
25,2,1,1,1,1
26,1,3,3,3,3
27,2,1,1,1,1
28,2,2,2,2,2
29,2,2,2,2,2
30,0,2,2,2,3
31,2,2,4,2,6
32,2,2,1,1,1
33,2,1,1,1,1
34,2,1,1,1,1
35,2,0,4,5,5
36,2,1,1,5,5
37,2,1,1,5,5
38,2,1,1,1,1
39,2,1,1,1,1
40,2,1,1,1,1
41,2,1,1,1,1
42,2,1,1,1,1
43,2,1,1,1,1
44,2,1,1,1,1
45,2,1,1,1,1
46,2,1,3,3,3
47,2,1,1,1,1
48,2,1,1,1,1
49,2,1,1,1,1
50,2,2,2,2,2
51,2,2,2,2,2
52,2,2,2,2,2
53,2,1,1,1,1
54,99,99,99,99,99
55,99,99,99,99,99
