,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,
0,2,3,4,4,4,0,
1,0,2,2,4,6,0,
2,2,3,4,4,4,0,
3,1,3,3,3,3,1,
4,2,3,4,4,4,0,
5,1,3,4,4,4,0,
6,1,3,3,3,6,1,
7,1,3,3,3,3,1,
8,2,1,1,1,1,2,
9,2,3,3,4,4,1,
10,1,3,3,3,3,1,
11,2,1,1,1,1,2,
12,1,3,3,3,3,1,
13,1,3,3,3,3,1,
14,1,3,3,3,3,1,
15,1,3,3,3,3,1,
16,1,3,3,3,3,1,
17,1,3,3,3,3,1,
18,1,3,3,3,3,1,
19,1,3,3,3,3,1,
20,1,3,3,3,3,1,
21,1,3,3,3,3,1,
22,1,3,3,3,3,1,
23,1,3,3,3,3,1,
24,1,3,3,3,1,1,
25,2,1,1,1,1,2,
26,1,3,3,3,3,1,
27,2,1,1,1,1,2,
28,2,2,2,2,2,2,
29,2,2,2,2,2,2,
30,0,2,2,2,3,2,
31,2,2,4,2,6,2,
32,2,2,1,1,1,2,
33,2,1,1,1,1,2,
34,2,1,1,1,1,2,
35,2,0,4,5,5,2,
36,2,1,1,5,5,2,
37,2,1,1,5,5,2,
38,2,1,1,1,1,2,
39,2,1,1,1,1,2,
40,2,1,1,1,1,2,
41,2,1,1,1,1,2,
42,2,1,1,1,1,2,
43,2,1,1,1,1,2,
44,2,1,1,1,1,2,
45,2,1,1,1,1,2,
46,2,1,3,3,3,2,
47,2,1,1,1,1,2,
48,2,1,1,1,1,2,
49,2,1,1,1,1,2,
50,2,2,2,2,2,2,
51,2,2,2,2,2,2,
52,2,2,2,2,2,2,
53,2,1,1,1,1,2,
54,99,99,99,99,99,99,
55,99,99,99,99,99,99,
Modularity,0.056415579080920764,0.06154526776228103,0.06622530884040785,0.06316554787786709,0.05762204871732599,0.07297931552557624,
NMI,0.6455031963520238,0.65656428737929906,0.67221798372141195,0.69865771711645619,0.52775372416339805,1.0,
Silhoutte,0.09146795,0.13505482,0.19761588,0.25883696,0.23558841,0.19395276,
