,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,1,1,4,4,4,4,4,4,4,0
1,0,0,0,0,6,6,6,6,0,1
2,0,0,4,4,4,4,4,4,4,0
3,2,3,3,3,3,3,3,3,1,2
4,0,1,4,4,4,4,4,4,4,0
5,2,2,2,2,2,2,2,2,0,3
6,0,0,0,0,6,6,6,6,0,1
7,0,0,0,5,5,5,5,5,2,1
8,0,0,0,5,5,5,5,5,2,1
9,0,3,3,3,3,3,3,3,1,2
10,0,3,3,3,3,3,3,3,1,2
11,0,0,4,4,6,7,7,7,4,1
12,2,2,2,2,2,2,2,2,0,3
13,2,3,3,3,6,3,3,9,0,3
14,2,2,2,2,2,2,2,2,0,3
15,2,2,2,2,2,2,2,2,0,3
16,2,2,2,2,2,2,2,2,0,3
17,2,2,2,2,2,2,2,2,0,3
18,2,2,2,2,2,2,2,2,0,3
19,2,2,2,2,2,2,2,2,0,3
20,2,2,2,2,2,2,2,2,0,3
21,2,2,2,2,2,2,2,2,0,3
22,2,2,2,2,2,2,2,2,0,3
23,1,3,1,1,1,1,1,1,1,4
24,1,1,1,1,1,1,1,1,3,4
25,1,1,1,1,1,1,1,9,3,4
26,2,2,2,2,2,2,2,2,0,3
27,1,1,1,1,1,1,1,1,3,5
28,1,1,1,1,1,1,1,1,3,5
29,1,1,1,1,1,1,1,1,3,5
30,1,3,3,3,3,3,3,3,1,2
31,1,3,3,3,3,3,3,3,1,2
32,0,3,3,3,3,3,3,3,1,2
33,1,1,1,1,1,1,1,1,3,4
34,1,1,1,1,1,1,1,1,3,5
35,0,0,4,4,4,4,4,4,4,0
36,0,0,0,5,5,5,5,5,2,1
37,1,1,1,1,1,1,1,1,3,4
38,1,1,1,1,1,1,1,1,3,5
39,1,1,1,1,1,1,1,1,3,5
40,1,1,1,1,1,1,8,8,3,6
41,0,3,4,5,5,7,8,8,3,6
42,2,1,4,5,1,7,8,8,3,6
43,1,1,1,1,1,1,1,1,3,5
44,1,1,1,1,1,1,1,1,3,5
45,1,1,1,1,1,1,1,1,3,4
46,1,1,1,1,1,1,1,1,3,5
47,1,1,1,1,1,1,1,1,3,5
48,1,1,1,1,1,1,1,1,3,5
49,1,1,1,1,1,1,1,1,3,5
50,1,1,1,1,1,1,1,1,3,5
51,1,1,1,1,1,1,1,1,3,4
52,0,0,4,4,0,7,7,7,4,1
53,1,1,1,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.1399315431934799,0.15798462324931256,0.1722678673089861,0.1730261837839433,0.17014428532852197,0.17161865427605275,0.17100977463324005,0.1654727694171824,0.18410245643128,0.14929799424775023
NMI,0.51165691519568568,0.72462023219328653,0.78067286505696942,0.81617653374572519,0.82622515056876367,0.80278554762608056,0.81498810164514668,0.8097593453032913,1.0,0.75216172116873714
