,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,3,3,5,5,5,5,5
1,0,0,0,5,5,7,7,7
2,0,3,0,5,5,5,5,5
3,0,3,4,4,4,4,4,3
4,0,3,3,5,5,5,5,5
5,2,2,4,0,6,6,6,6
6,1,3,1,5,5,7,7,7
7,1,3,4,5,5,7,7,7
8,0,0,0,5,5,5,8,8
9,1,3,4,4,4,4,4,4
10,1,3,4,4,6,6,6,6
11,1,1,1,1,6,6,6,6
12,1,1,4,4,6,6,6,6
13,1,3,4,4,4,4,4,3
14,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2
16,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2
23,1,3,4,4,4,4,4,4
24,0,3,4,4,4,4,4,4
25,2,2,4,4,6,6,6,6
26,2,2,2,2,2,2,2,2
27,2,2,3,3,3,3,3,9
28,1,1,3,3,3,3,3,3
29,1,1,1,1,1,1,1,1
30,2,3,3,3,3,3,3,9
31,1,1,1,1,1,1,1,1
32,2,3,3,3,3,3,3,3
33,2,3,3,3,3,3,3,3
34,2,3,3,3,3,3,3,3
35,1,3,3,5,5,5,5,5
36,1,1,1,5,5,5,8,8
37,1,1,1,1,1,1,8,8
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
43,0,0,4,4,4,4,4,4
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
