,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,2,2,2,2,2,2,6,6,6,6,6,2,0
1,0,0,2,2,0,5,5,9,9,9,9,2,1
2,2,2,2,2,2,2,6,6,6,6,12,2,1
3,2,2,4,4,6,6,2,2,2,2,2,0,2
4,0,0,2,2,2,2,6,6,6,6,6,2,0
5,2,2,2,2,2,2,8,8,8,8,12,2,1
6,0,0,2,2,2,5,5,9,9,9,9,2,1
7,0,0,0,0,0,7,7,9,10,11,11,2,3
8,0,0,0,0,0,1,7,7,10,11,11,3,3
9,0,3,3,3,3,3,8,8,10,8,12,1,3
10,2,2,2,2,5,5,8,8,8,8,8,2,1
11,2,2,2,5,5,5,8,8,8,8,8,4,1
12,2,2,2,2,2,2,8,8,8,8,8,2,1
13,2,2,2,2,6,6,2,2,2,2,2,0,2
14,2,3,4,4,4,4,4,4,4,4,4,0,4
15,2,3,4,4,4,4,4,4,4,4,4,0,4
16,2,2,2,2,4,4,8,8,8,4,4,0,2
17,2,2,4,4,4,4,4,4,4,4,4,0,4
18,2,3,4,4,4,4,4,4,4,4,4,0,4
19,0,3,4,4,4,4,4,4,4,4,4,0,4
20,2,3,4,4,4,4,4,4,4,4,4,0,4
21,2,2,2,2,2,2,8,4,9,9,9,0,1
22,2,3,4,4,4,4,4,4,4,4,4,0,4
23,0,2,0,0,6,6,2,2,2,2,2,0,3
24,2,2,1,2,6,6,2,2,2,2,2,0,2
25,1,2,1,1,6,6,2,2,2,2,2,0,2
26,2,2,2,2,2,6,2,2,2,2,2,0,2
27,1,1,1,1,1,7,1,1,10,10,10,3,5
28,0,3,3,3,3,3,3,3,3,3,3,1,6
29,1,1,1,1,1,7,1,1,10,10,10,3,5
30,1,3,3,3,3,3,3,3,3,3,3,1,6
31,2,3,3,3,3,3,3,3,3,3,3,1,6
32,1,3,3,3,3,3,3,3,3,3,3,1,6
33,1,3,3,3,3,3,3,3,3,3,3,1,6
34,2,3,3,3,3,3,3,3,3,3,3,1,5
35,0,0,2,2,2,2,6,6,6,6,6,2,0
36,1,1,1,5,1,1,1,1,1,11,11,3,5
37,2,2,4,4,6,1,8,9,7,7,7,3,3
38,2,1,1,0,6,1,8,8,10,10,10,3,5
39,1,1,1,5,5,5,5,5,5,5,5,3,5
40,1,1,1,1,1,7,7,7,7,1,1,3,7
41,0,2,2,5,5,7,7,7,7,7,7,3,7
42,1,2,1,1,1,7,7,7,7,7,7,3,7
43,1,1,1,1,1,7,1,1,1,1,1,3,8
44,1,1,1,1,1,7,1,1,1,1,1,3,8
45,1,1,1,1,1,7,1,1,1,1,1,3,8
46,1,1,1,5,5,5,5,5,5,5,5,4,5
47,0,2,0,0,6,1,8,9,9,7,7,3,3
48,1,1,1,1,1,7,1,1,1,1,1,3,8
49,1,1,1,1,1,6,1,1,1,1,1,3,2
50,1,1,1,5,5,5,5,5,5,5,5,4,5
51,0,0,0,5,5,5,5,5,5,5,5,4,3
52,1,1,2,2,2,2,6,6,6,6,6,2,0
53,1,1,1,1,1,7,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0907552929314068,0.13091618299688082,0.17816471997953998,0.1598870945876232,0.1587391955452574,0.1620211908420266,0.14745321179629214,0.15156613260617077,0.14264612595013632,0.14728472025312078,0.1415010844275472,0.1964694948868318,0.13549344009394942
NMI,0.18997343279174267,0.45243223002584376,0.53458243821620022,0.63805254833313485,0.68311870280321552,0.69803773607639796,0.60667178837968716,0.66967625466923619,0.64753340255021841,0.69353142626300923,0.69199935591397466,1.0,0.56123672399541635
