,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,1,1,1,5,5,5,5,5,0,0
1,2,2,0,2,6,6,6,6,0,1
2,1,1,1,1,5,5,5,5,0,0
3,0,3,3,5,6,6,6,9,1,2
4,1,1,1,5,5,5,5,5,0,0
5,1,1,1,1,1,1,1,1,0,3
6,0,0,0,0,6,6,6,6,0,1
7,1,1,1,1,1,1,1,1,0,3
8,1,1,1,1,1,1,1,1,0,3
9,2,3,3,5,6,6,6,9,1,2
10,1,1,1,1,1,1,1,1,0,3
11,1,1,1,1,1,1,1,1,0,3
12,1,1,1,1,1,1,1,1,0,3
13,1,1,1,1,1,1,1,1,0,3
14,1,1,1,1,1,1,1,1,0,3
15,1,1,1,1,1,1,1,1,0,3
16,1,1,1,1,1,1,1,1,0,3
17,1,1,1,1,1,1,1,1,0,3
18,1,1,1,1,1,1,1,1,0,3
19,1,1,1,1,1,1,1,1,0,3
20,1,1,1,1,1,1,7,1,0,4
21,1,1,1,1,1,1,1,1,0,3
22,1,1,4,1,1,1,7,7,0,4
23,2,3,3,5,6,6,6,9,1,2
24,0,3,3,3,3,3,3,3,1,5
25,2,2,4,0,0,0,8,8,2,6
26,0,3,3,3,3,3,3,3,1,5
27,2,2,4,4,4,4,4,4,2,7
28,2,2,4,4,4,4,4,4,2,8
29,2,3,2,3,3,3,3,3,2,5
30,2,2,4,4,4,4,4,4,2,8
31,2,2,4,4,4,4,4,4,2,8
32,2,2,4,4,4,4,4,4,2,8
33,2,2,4,4,4,4,4,4,2,8
34,2,2,2,2,2,2,2,2,2,7
35,1,1,1,5,5,5,5,5,0,0
36,0,0,3,2,3,7,7,7,2,6
37,2,2,2,2,2,2,2,2,2,6
38,2,2,2,2,2,2,2,2,2,6
39,2,2,2,2,2,2,2,2,2,7
40,2,2,2,2,2,2,2,2,2,7
41,0,0,0,0,0,7,8,8,2,6
42,2,2,2,2,2,2,2,2,2,6
43,0,3,3,3,3,3,3,3,2,5
44,2,2,2,2,2,2,2,2,2,7
45,2,2,2,2,2,2,2,2,2,5
46,2,2,2,2,2,2,8,8,2,7
47,2,2,2,2,2,2,2,2,2,7
48,2,2,2,2,2,2,2,2,2,7
49,2,2,2,2,2,2,2,2,2,7
50,2,2,2,2,2,2,2,2,2,7
51,2,2,2,2,2,2,8,2,2,6
52,0,0,0,3,3,7,8,8,0,6
53,2,2,2,2,2,2,2,2,2,6
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.24071140309169034,0.25309711441618654,0.23411836383713405,0.2079891389490094,0.21156091514201306,0.21315987811471665,0.19214047815884835,0.20242437150658707,0.27112501312386506,0.17106049331578654
NMI,0.58626783997774701,0.69271319333282333,0.64896105421215622,0.53604885470474395,0.59649172771552994,0.60607258329751879,0.55183836179367429,0.607532136342681,1.0,0.59610788936724701
