,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,0,0,4,4,4,4,4,4,4,4,4,4,3,
1,0,0,0,0,6,5,6,6,6,10,10,6,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,3,
3,2,2,2,2,2,2,2,2,2,2,2,2,1,
4,0,0,4,4,4,4,4,4,4,4,4,4,3,
5,0,0,0,0,4,4,8,8,8,8,8,8,0,
6,0,0,0,0,0,5,6,6,6,10,10,6,2,
7,0,0,0,4,6,6,6,6,6,10,10,6,2,
8,0,0,0,4,5,6,5,5,5,5,5,5,2,
9,0,0,0,0,6,7,7,7,7,7,7,7,1,
10,1,1,4,5,4,7,8,8,8,8,8,13,0,
11,0,0,0,0,5,6,8,8,8,8,8,8,0,
12,1,3,3,3,3,3,8,8,8,8,8,13,0,
13,0,0,0,0,0,7,0,0,10,11,0,0,0,
14,1,3,3,3,3,3,3,3,3,3,3,3,0,
15,1,3,3,3,3,3,3,3,3,3,3,3,0,
16,1,3,3,3,3,3,3,3,3,3,3,3,0,
17,1,3,3,3,3,3,3,3,3,3,3,3,0,
18,1,3,3,3,3,3,3,3,3,3,3,3,0,
19,1,3,3,3,3,3,3,7,7,7,12,12,0,
20,1,3,3,3,3,3,3,3,3,3,3,3,0,
21,1,3,3,3,3,3,8,8,8,8,8,8,0,
22,0,3,3,3,3,3,3,3,3,3,3,3,0,
23,0,0,0,5,6,7,7,7,7,7,7,7,1,
24,1,1,1,1,1,1,1,1,1,1,1,1,3,
25,0,3,3,3,3,3,3,3,3,3,3,13,0,
26,1,1,1,1,1,1,1,1,1,1,1,1,3,
27,0,0,0,3,3,3,7,7,7,9,12,12,0,
28,2,2,2,2,2,2,2,2,2,2,2,2,1,
29,1,1,1,1,6,5,6,1,10,11,11,11,3,
30,2,2,2,2,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,2,2,2,2,1,
34,1,1,4,5,6,5,6,9,10,11,11,11,3,
35,0,0,4,4,4,4,4,4,4,4,4,4,3,
36,0,3,4,4,5,6,5,5,5,5,5,5,2,
37,0,0,0,0,0,0,0,6,9,6,9,9,0,
38,1,0,4,5,6,5,6,9,10,11,11,11,3,
39,1,1,4,5,6,5,6,9,10,11,6,10,3,
40,1,1,4,5,6,5,6,9,10,11,9,11,3,
41,0,0,4,5,6,5,6,9,9,9,9,9,3,
42,0,0,4,5,6,5,6,9,9,9,9,9,3,
43,1,1,1,1,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,6,5,1,1,10,6,6,10,3,
45,1,1,1,1,1,1,1,1,1,1,1,1,3,
46,0,0,0,4,5,6,5,5,5,5,5,5,2,
47,1,0,4,0,5,6,5,7,0,6,6,10,3,
48,1,1,1,1,1,1,1,1,1,1,1,1,3,
49,2,2,2,2,2,2,2,2,2,2,2,2,1,
50,1,1,1,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,4,4,8,8,8,8,8,8,3,
53,1,1,4,5,6,5,6,9,10,11,11,11,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.09953697612026059,0.1800995693436138,0.19859500741072458,0.19941085790329663,0.19657731472151108,0.2108075850924468,0.19753938630427303,0.1966898197771076,0.18727834961664322,0.18407552140506633,0.1826479498312123,0.17433171532120126,0.23559645153663555,
NMI,0.4115118042429437,0.52282965175670482,0.64321071293283161,0.59328601460470276,0.57256016497026629,0.62532949960501816,0.63274335160447204,0.65070518469401784,0.63585319341172908,0.6210330707470838,0.67276448506807551,0.66928735414584084,1.0,
Silhoutte,0.00972846,0.0926596,0.1192464,0.13283573,0.14016741,0.16656829,0.19227699,0.22647635,0.22475831,0.23326291,0.25289013,0.26474151,0.08715763,
