,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,1,1,1,1,1,1,1,1,1
1,0,0,2,2,0,7,8,8,8
2,1,1,1,1,1,1,1,1,1
3,1,1,1,5,5,5,5,5,5
4,0,0,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1
6,1,0,2,2,1,7,8,8,8
7,0,0,0,5,5,7,7,9,9
8,0,0,0,0,6,6,2,9,9
9,0,3,3,3,5,3,3,3,3
10,1,1,1,5,5,5,5,5,5
11,1,1,1,1,1,1,1,1,1
12,1,1,1,5,5,5,5,5,5
13,1,1,1,5,5,5,5,5,5
14,2,2,4,4,4,4,4,4,4
15,1,1,4,4,4,4,4,4,4
16,1,1,1,4,4,4,4,4,4
17,1,1,4,4,4,4,4,4,4
18,1,1,4,4,4,4,4,4,4
19,0,0,4,4,4,7,7,7,7
20,1,1,4,4,4,4,4,4,4
21,1,1,4,4,4,4,4,4,4
22,1,1,4,4,4,4,4,4,4
23,1,1,1,5,5,5,5,5,5
24,1,1,1,5,5,5,5,5,5
25,1,1,1,5,5,5,5,5,5
26,1,1,1,1,1,1,5,5,8
27,2,2,2,2,2,7,7,7,7
28,2,3,3,3,3,3,3,3,3
29,2,2,2,2,2,2,7,7,7
30,2,3,3,3,3,3,3,3,3
31,2,3,3,3,3,3,3,3,3
32,2,3,3,3,3,3,3,3,3
33,2,3,3,3,3,3,3,3,3
34,2,3,3,3,3,3,3,3,3
35,2,2,1,1,1,1,1,1,1
36,2,2,2,2,6,6,2,2,10
37,1,1,0,0,5,7,0,9,6
38,2,2,2,2,6,7,2,2,10
39,2,2,2,2,6,6,2,2,10
40,2,2,2,2,2,2,6,6,2
41,0,1,1,0,2,2,6,6,2
42,2,2,2,2,2,2,6,6,2
43,2,2,2,2,2,2,6,6,2
44,2,2,2,2,2,2,6,6,2
45,2,2,2,2,2,2,6,6,2
46,2,2,2,2,6,6,2,2,10
47,1,1,1,5,5,7,0,9,6
48,2,2,2,2,2,2,6,6,2
49,2,2,2,2,6,6,2,2,10
50,2,2,2,2,6,6,2,2,10
51,0,0,0,0,0,0,5,5,10
52,1,1,1,1,1,1,1,1,1
53,2,2,2,2,6,6,2,2,10
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
