,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,3,3,3,3,7,7,7,7,7,7,7,4,0
1,1,1,1,5,5,5,5,5,5,5,5,5,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,0,2
3,1,1,1,1,1,1,1,1,1,1,1,1,0,2
4,0,3,3,3,3,7,7,7,7,7,7,7,4,0
5,0,0,2,5,5,5,5,5,5,5,5,5,1,0
6,2,3,3,5,5,5,5,5,5,5,5,5,1,1
7,0,0,4,2,5,5,8,8,4,4,4,4,3,0
8,0,0,4,2,5,5,8,8,4,4,4,4,3,0
9,1,1,1,1,1,1,1,1,1,1,1,1,0,2
10,1,1,1,1,1,1,1,1,1,1,1,1,0,2
11,0,0,2,0,5,5,8,8,10,10,12,12,3,0
12,0,0,2,5,5,5,5,5,5,5,5,5,1,1
13,0,1,1,1,1,1,1,1,10,10,10,10,0,1
14,2,3,3,3,3,3,3,3,3,3,3,3,1,1
15,2,3,3,3,3,3,3,3,3,3,3,3,1,1
16,1,2,2,5,6,6,6,6,6,6,6,6,2,3
17,1,3,3,5,6,6,6,6,6,6,6,6,2,3
18,2,3,3,3,3,3,3,3,3,3,3,3,1,1
19,2,0,0,0,3,7,7,9,9,9,9,9,1,0
20,0,0,0,0,3,3,3,3,3,3,3,3,1,1
21,2,3,3,3,3,3,3,3,3,3,3,3,1,1
22,2,3,3,3,5,5,5,5,5,5,5,5,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,0,2
24,0,0,0,0,0,0,0,0,0,10,10,10,0,0
25,0,0,0,5,6,6,6,9,9,11,11,11,2,3
26,2,3,3,3,3,3,3,3,3,3,3,3,1,1
27,0,0,0,0,6,7,7,9,9,9,9,9,1,0
28,2,2,2,4,4,4,4,4,8,8,8,2,2,4
29,2,2,4,2,2,2,4,4,8,8,8,2,2,4
30,1,1,1,1,1,1,1,1,1,1,1,1,0,2
31,1,1,1,1,1,1,1,1,1,1,1,1,0,2
32,1,1,1,1,1,1,1,1,1,1,1,1,0,2
33,1,1,1,1,1,1,1,1,1,1,1,1,0,2
34,1,1,1,1,1,1,1,1,1,1,1,2,0,2
35,0,3,3,3,3,7,7,7,7,7,7,7,4,0
36,2,2,4,2,2,2,8,8,4,4,4,4,3,0
37,0,0,4,2,2,2,2,2,2,2,2,8,3,0
38,2,2,2,5,0,0,0,0,6,6,6,2,2,3
39,2,2,2,5,6,6,6,6,6,6,6,6,2,3
40,2,2,2,4,4,4,4,4,8,8,8,13,2,3
41,0,0,0,4,4,4,4,4,8,8,8,13,2,3
42,2,2,2,4,4,4,4,4,8,8,8,13,2,3
43,2,2,2,4,4,4,4,4,8,8,8,13,2,3
44,2,2,4,2,2,2,2,2,2,2,2,2,2,4
45,2,2,2,5,6,6,6,6,6,6,6,6,2,3
46,1,2,2,5,6,6,6,6,6,6,6,6,2,3
47,2,0,4,2,2,2,2,2,2,2,2,8,3,0
48,2,2,4,2,2,2,2,2,2,2,2,8,3,4
49,2,2,4,2,2,2,2,2,2,2,2,8,3,4
50,2,2,2,5,6,6,4,4,8,11,11,11,2,3
51,2,2,4,5,6,6,8,8,10,11,11,11,2,3
52,0,0,4,2,0,0,8,8,10,10,12,12,3,0
53,2,2,4,2,2,2,2,2,2,2,2,2,3,4
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1350361121335329,0.21896959543469918,0.20724915709883512,0.20208385431308232,0.21251132626584707,0.22004637040197225,0.21956231630861262,0.21626311521812908,0.21362765486818014,0.21434892633880248,0.21353432531234304,0.20167639774293478,0.2531299760922658,0.22786589129740092
NMI,0.30607728667885209,0.54823576090969139,0.56240950922078647,0.66256031841865837,0.65055560463404793,0.69058189866477926,0.73749955888393304,0.73927598801078676,0.7266401296823739,0.75500128109835862,0.77394521249593451,0.73338849715852938,1.0,0.68853341080592156
