,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,1,4,4,4,4,4,4,4,4,0,0
1,0,0,0,5,5,5,5,5,5,5,1,1
2,0,3,3,3,3,3,3,3,3,3,3,2
3,2,3,3,3,3,3,3,3,3,3,3,2
4,0,0,4,4,4,4,4,4,4,4,0,0
5,2,2,2,2,2,2,2,2,2,2,2,3
6,0,0,4,5,5,5,5,5,5,5,1,1
7,0,0,4,5,5,5,5,5,5,5,1,1
8,0,0,1,5,5,5,5,9,10,10,5,4
9,0,3,3,3,3,3,3,3,3,3,3,2
10,2,2,3,2,2,2,3,2,2,2,2,2
11,2,2,2,2,2,2,2,2,2,2,2,5
12,2,2,2,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,3,3,3,3,2,2,2
14,0,0,1,1,5,7,7,7,7,7,4,6
15,2,2,2,2,2,2,2,9,8,11,2,3
16,1,1,1,1,1,1,1,1,1,1,5,4
17,2,2,2,2,2,2,2,9,2,2,2,3
18,2,2,2,2,2,2,2,9,8,2,2,3
19,2,2,2,2,2,2,2,9,2,2,2,3
20,2,2,2,2,2,2,2,9,8,2,2,3
21,2,2,2,2,2,2,2,2,2,2,2,3
22,1,1,2,2,2,2,2,9,8,2,2,3
23,0,3,3,3,3,3,3,3,3,3,3,2
24,2,2,4,0,5,7,7,7,7,7,4,6
25,0,0,0,0,5,7,7,7,7,7,4,6
26,0,0,4,4,0,0,0,0,8,11,3,6
27,1,1,1,1,1,1,1,1,1,2,2,5
28,2,2,1,1,1,1,1,2,2,2,2,5
29,1,1,1,1,1,1,1,1,1,1,5,5
30,0,3,3,3,3,3,3,3,3,3,3,2
31,1,3,4,3,3,5,8,8,9,9,3,7
32,0,3,4,3,3,3,8,8,9,9,3,7
33,1,1,4,4,6,6,8,8,9,9,3,7
34,1,1,1,1,1,1,1,1,1,1,5,6
35,0,0,3,4,4,4,4,4,4,4,0,0
36,1,1,1,1,1,1,1,1,10,10,5,4
37,0,3,0,3,6,6,7,5,5,8,5,6
38,1,1,1,1,1,1,1,1,1,1,5,4
39,1,1,1,1,1,1,1,1,1,1,5,4
40,2,1,4,4,6,6,6,6,6,6,5,8
41,2,0,0,0,6,6,6,6,6,6,5,6
42,2,2,4,4,6,6,6,6,6,6,5,8
43,1,1,4,4,6,6,6,6,6,6,5,8
44,1,1,1,1,6,6,6,1,1,1,5,8
45,1,1,1,1,1,1,1,1,1,1,5,4
46,1,1,1,1,1,1,1,1,1,1,5,4
47,0,3,0,3,6,6,8,5,5,8,5,6
48,1,1,1,1,1,1,1,1,1,1,5,4
49,1,1,1,1,1,1,1,1,1,1,5,4
50,1,1,4,1,1,1,8,8,9,9,3,7
51,1,1,1,1,1,1,1,1,1,1,5,4
52,1,1,1,1,1,1,1,1,1,1,5,4
53,1,1,1,1,1,1,1,1,1,1,5,4
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.10715518670315624,0.1115932755781591,0.11529791769621478,0.12675282088236495,0.1437253507389643,0.13851935262969195,0.1364502774272631,0.13072550928425453,0.13250580038398513,0.14065482030983606,0.16514631502155389,0.12494791889638433
NMI,0.37141987825383405,0.48809631057534958,0.51389419245455759,0.59289486863042051,0.70694543695014211,0.6798140808676193,0.68845956889615401,0.71553877250557063,0.71393768297170535,0.82618807254929727,1.0,0.6918065131194342
