,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,3,4,4,4,7,7,7,10,10
1,0,0,0,0,0,7,7,7,7,7
2,1,1,1,1,1,5,1,1,1,1
3,1,1,1,1,1,5,1,1,1,1
4,2,2,4,4,4,7,7,7,10,10
5,0,0,0,0,0,0,0,0,0,11
6,2,3,3,3,3,3,3,3,3,3
7,1,1,1,1,1,5,1,1,1,1
8,1,1,1,1,1,5,1,1,1,1
9,1,1,1,1,1,5,1,1,1,1
10,1,1,1,1,1,5,1,1,1,1
11,1,1,1,1,1,5,5,9,9,9
12,1,1,1,1,1,5,1,1,1,1
13,1,1,4,4,4,5,7,9,10,10
14,2,2,2,2,6,6,6,6,6,6
15,2,2,2,2,2,2,2,2,5,5
16,2,2,2,2,2,2,2,2,5,5
17,2,2,2,2,2,2,2,2,5,5
18,1,2,2,2,2,2,2,2,5,5
19,2,2,2,2,6,6,2,2,5,5
20,0,0,4,4,4,4,4,4,4,4
21,1,2,2,2,2,5,2,2,5,5
22,2,2,2,2,2,2,2,2,5,5
23,1,1,1,4,4,5,4,9,9,9
24,1,1,1,1,1,5,1,1,1,1
25,1,2,1,5,5,5,8,8,8,8
26,2,3,3,3,3,3,3,3,3,3
27,1,1,1,5,5,5,5,5,1,1
28,2,3,3,3,3,3,3,3,3,3
29,2,3,3,3,3,3,3,3,3,3
30,2,3,3,3,3,3,3,3,3,3
31,1,1,4,4,4,4,4,9,9,9
32,0,2,2,2,2,2,2,2,2,2
33,1,1,4,4,4,4,4,4,4,4
34,1,1,1,5,4,4,4,9,9,9
35,1,1,1,1,1,7,7,7,10,10
36,1,1,1,5,5,5,1,1,1,1
37,1,1,1,1,1,5,1,1,1,1
38,2,3,3,3,3,3,3,3,3,3
39,2,3,3,3,3,3,3,3,3,3
40,2,2,2,5,6,6,6,6,6,6
41,1,1,1,5,5,1,5,5,1,1
42,2,2,2,5,6,6,6,6,6,6
43,2,3,3,3,3,3,3,3,3,3
44,2,2,2,5,5,1,5,5,6,6
45,1,2,2,5,5,1,5,5,6,6
46,1,1,1,4,5,5,1,5,1,1
47,0,0,0,0,0,0,8,8,8,8
48,1,2,1,5,5,1,5,5,1,1
49,1,2,1,5,5,1,5,5,1,1
50,2,3,3,3,3,3,3,3,3,3
51,1,2,1,5,5,1,5,5,7,7
52,1,1,4,4,4,4,4,4,4,4
53,1,1,1,5,5,1,5,5,7,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
