,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,2,3,0,5,5,5,5,5,5,0,0
1,1,1,4,5,6,6,6,6,6,0,1
2,2,2,2,2,2,2,2,2,2,1,2
3,2,2,2,2,2,4,4,4,2,1,2
4,0,0,0,5,5,5,5,5,5,0,0
5,2,2,2,2,2,2,2,2,10,1,2
6,1,1,3,5,6,6,6,6,6,0,1
7,1,1,3,5,6,6,6,6,6,0,1
8,1,1,1,1,1,1,4,9,4,3,3
9,0,0,0,0,6,7,0,7,7,1,4
10,2,2,2,2,2,2,2,2,2,1,2
11,2,2,2,2,2,2,2,2,2,1,2
12,2,2,2,2,2,2,2,2,10,1,2
13,2,2,2,2,2,2,2,2,2,1,2
14,0,3,3,3,6,3,3,3,3,1,4
15,2,3,3,3,3,3,3,3,3,1,5
16,1,1,1,1,1,1,1,1,1,3,6
17,2,3,3,3,3,3,3,3,3,1,5
18,2,3,3,3,3,3,3,3,3,1,5
19,0,3,3,3,3,3,3,3,3,1,4
20,2,3,3,3,3,3,3,3,3,1,5
21,2,3,3,3,3,3,3,3,3,1,2
22,2,3,3,3,3,3,3,3,3,1,5
23,0,0,4,4,4,4,4,4,4,0,4
24,2,3,4,4,4,4,4,4,4,1,4
25,2,3,3,3,3,3,3,7,7,1,2
26,0,0,0,0,0,0,0,9,9,1,4
27,1,1,1,1,1,1,1,1,1,3,6
28,1,1,1,1,1,1,1,1,1,3,6
29,1,1,1,1,1,1,1,1,1,3,6
30,2,2,2,2,2,2,2,2,2,1,2
31,2,2,2,2,2,2,2,2,2,1,2
32,2,2,2,2,2,2,2,2,2,1,2
33,2,2,2,2,2,2,2,2,2,1,2
34,99,99,99,99,99,99,99,99,99,99,99
35,1,1,1,1,1,1,1,1,1,3,6
36,1,1,1,1,1,1,1,1,1,3,3
37,2,1,4,4,4,6,8,8,8,3,3
38,1,1,4,4,4,5,8,8,8,3,3
39,1,1,1,1,1,1,1,1,1,3,6
40,1,1,1,1,1,1,1,1,1,3,6
41,0,0,4,4,4,7,7,7,7,0,4
42,1,1,1,1,1,1,1,1,1,3,6
43,0,0,4,4,4,4,4,4,4,0,4
44,1,1,1,1,1,1,1,1,1,3,6
45,1,1,1,1,1,1,1,1,1,3,6
46,1,1,1,1,1,1,1,1,1,3,6
47,2,1,4,4,4,6,8,8,8,3,3
48,1,1,1,1,1,1,1,1,1,3,6
49,1,1,1,1,1,1,1,1,1,3,6
50,1,1,1,1,1,1,1,1,1,3,6
51,1,1,1,1,1,1,1,1,1,3,6
52,1,1,1,1,1,1,1,1,1,3,6
53,1,1,1,1,1,1,1,1,1,3,6
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.14143503004119998,0.16288099379847193,0.16753365776424023,0.1741678007774707,0.1681877221295833,0.16580689989444733,0.16222325166428023,0.1600340200933728,0.15493279099715124,0.19618887576009875,0.16434342807169974
NMI,0.53189747782217911,0.6250495471122115,0.57985864591520875,0.68942903519903931,0.62822800214436736,0.62478698075858319,0.66667724456137922,0.64804675421672242,0.63781650754486952,1.0,0.69033451247658684
