,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,1,1,1,1,1,1,1,1,1,1,
1,0,0,2,2,0,7,8,8,8,1,
2,1,1,1,1,1,1,1,1,1,1,
3,1,1,1,5,5,5,5,5,5,1,
4,0,0,1,1,1,1,1,1,1,1,
5,1,1,1,1,1,1,1,1,1,1,
6,1,0,2,2,1,7,8,8,8,1,
7,0,0,0,5,5,7,7,9,9,1,
8,0,0,0,0,6,6,2,9,9,3,
9,0,3,3,3,5,3,3,3,3,2,
10,1,1,1,5,5,5,5,5,5,1,
11,1,1,1,1,1,1,1,1,1,1,
12,1,1,1,5,5,5,5,5,5,1,
13,1,1,1,5,5,5,5,5,5,1,
14,2,2,4,4,4,4,4,4,4,0,
15,1,1,4,4,4,4,4,4,4,0,
16,1,1,1,4,4,4,4,4,4,1,
17,1,1,4,4,4,4,4,4,4,0,
18,1,1,4,4,4,4,4,4,4,0,
19,0,0,4,4,4,7,7,7,7,0,
20,1,1,4,4,4,4,4,4,4,0,
21,1,1,4,4,4,4,4,4,4,1,
22,1,1,4,4,4,4,4,4,4,0,
23,1,1,1,5,5,5,5,5,5,1,
24,1,1,1,5,5,5,5,5,5,1,
25,1,1,1,5,5,5,5,5,5,1,
26,1,1,1,1,1,1,5,5,8,1,
27,2,2,2,2,2,7,7,7,7,0,
28,2,3,3,3,3,3,3,3,3,2,
29,2,2,2,2,2,2,7,7,7,3,
30,2,3,3,3,3,3,3,3,3,2,
31,2,3,3,3,3,3,3,3,3,2,
32,2,3,3,3,3,3,3,3,3,2,
33,2,3,3,3,3,3,3,3,3,2,
34,2,3,3,3,3,3,3,3,3,2,
35,2,2,1,1,1,1,1,1,1,1,
36,2,2,2,2,6,6,2,2,10,3,
37,1,1,0,0,5,7,0,9,6,3,
38,2,2,2,2,6,7,2,2,10,3,
39,2,2,2,2,6,6,2,2,10,3,
40,2,2,2,2,2,2,6,6,2,3,
41,0,1,1,0,2,2,6,6,2,3,
42,2,2,2,2,2,2,6,6,2,3,
43,2,2,2,2,2,2,6,6,2,3,
44,2,2,2,2,2,2,6,6,2,3,
45,2,2,2,2,2,2,6,6,2,3,
46,2,2,2,2,6,6,2,2,10,3,
47,1,1,1,5,5,7,0,9,6,3,
48,2,2,2,2,2,2,6,6,2,3,
49,2,2,2,2,6,6,2,2,10,3,
50,2,2,2,2,6,6,2,2,10,3,
51,0,0,0,0,0,0,5,5,10,3,
52,1,1,1,1,1,1,1,1,1,1,
53,2,2,2,2,6,6,2,2,10,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.10753190960795106,0.13999398183219366,0.14579468377590626,0.1473783225611557,0.14587041242010515,0.14373989762839254,0.14626441621065261,0.1458777328047895,0.1489785177696546,0.18824141414975748,
NMI,0.29104608697757689,0.47556747731666787,0.64594922724381998,0.64605990993706242,0.61751926550171921,0.64889689559326869,0.64922696325754337,0.64608171301528061,0.67926834627754562,1.0,
Silhoutte,0.06581848,0.15089811,0.14389883,0.13422658,0.14506581,0.16615859,0.2322651,0.21744308,0.23579354,0.15474223,
