,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,2,2,2,2,2,2,0,0
1,2,2,2,2,2,2,2,0,0
2,2,2,2,2,2,2,2,0,0
3,1,1,4,4,4,4,4,4,1
4,2,2,2,2,2,2,2,0,2
5,2,2,2,3,2,2,6,0,2
6,2,2,2,2,2,2,2,0,0
7,2,2,2,2,2,2,2,0,0
8,0,3,3,3,6,6,6,1,2
9,0,1,4,4,5,5,5,4,3
10,2,2,2,2,6,2,2,0,0
11,1,1,1,1,6,7,7,8,2
12,2,2,2,2,2,2,2,0,0
13,0,0,4,5,5,5,5,1,3
14,1,1,4,5,5,5,5,1,3
15,1,3,3,3,3,3,3,1,4
16,0,3,3,3,6,7,7,1,2
17,1,3,3,3,3,3,3,1,4
18,1,3,3,3,3,3,3,1,4
19,1,3,3,3,3,3,3,1,4
20,1,3,3,3,3,3,3,1,4
21,1,3,3,3,3,3,3,1,4
22,99,99,99,99,99,99,99,99,99
23,0,0,0,5,5,5,5,8,3
24,2,2,2,5,5,5,5,8,3
25,99,99,99,99,99,99,99,99,99
26,2,2,2,5,5,5,5,1,3
27,1,1,1,1,1,7,7,8,1
28,1,1,1,1,1,1,1,8,1
29,1,1,1,1,1,1,1,8,1
30,0,0,4,4,4,4,4,4,3
31,0,0,4,4,4,4,4,4,3
32,0,3,4,4,4,4,4,4,3
33,1,1,1,1,1,1,1,8,1
34,99,99,99,99,99,99,99,99,99
35,2,2,2,2,2,2,2,0,2
36,1,1,1,1,6,6,6,8,2
37,1,1,4,5,3,3,8,8,5
38,1,1,1,1,1,1,1,8,5
39,1,1,1,1,1,1,1,8,1
40,1,1,1,1,1,1,1,8,1
41,99,99,99,99,99,99,99,99,99
42,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,8,1
44,1,1,1,1,1,1,1,8,1
45,1,1,1,1,1,7,7,8,1
46,0,0,4,5,3,6,8,8,5
47,99,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,1,8,1
50,1,1,1,1,1,1,1,8,1
51,1,1,1,1,1,1,1,8,1
52,1,1,1,1,1,1,1,8,2
53,1,1,1,1,1,1,1,8,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.11953073460873417,0.1588674310312975,0.18462288246511058,0.19514965419386013,0.17779891662344732,0.17033032581422414,0.17289244640780516,0.21382674217312836,0.16460558808590897
NMI,0.45845607179609177,0.56901517223089981,0.69594140325296883,0.79102637241155827,0.63511508083123847,0.64993837356372919,0.65292943887592925,1.0,0.54726879183389032
