,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,1,1,1,1,1,1,13,1
2,2,2,2,5,5,5,0,0
3,1,1,1,1,6,6,11,2
4,1,2,2,5,5,5,0,0
5,2,2,2,5,5,5,0,0
6,0,3,3,3,3,3,0,3
7,2,3,3,3,3,3,0,3
8,2,3,3,3,3,4,13,3
9,0,0,0,2,0,7,11,4
10,2,3,4,4,4,4,0,5
11,2,3,4,4,4,4,0,5
12,2,3,4,4,4,4,0,5
13,0,3,3,4,6,7,11,4
14,2,2,2,2,2,2,1,6
15,2,2,2,2,2,2,1,6
16,2,3,3,5,5,7,1,4
17,2,2,2,2,2,2,1,6
18,2,2,2,2,2,2,1,6
19,2,2,2,2,2,2,1,6
20,2,2,2,2,2,2,1,6
21,1,1,1,3,5,3,0,3
22,99,99,99,99,99,99,99,99
23,1,1,0,1,6,7,11,4
24,1,1,1,1,1,1,13,1
25,99,99,99,99,99,99,99,99
26,0,2,3,3,3,3,1,3
27,1,1,1,1,1,1,13,1
28,1,1,1,1,1,1,13,1
29,1,1,1,1,1,1,13,1
30,1,1,4,4,6,6,11,2
31,1,3,4,4,6,6,0,2
32,1,1,1,1,6,6,11,2
33,1,1,1,1,1,1,13,1
34,99,99,99,99,99,99,99,99
35,2,2,2,5,5,5,0,0
36,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99
38,0,3,3,3,5,7,11,4
39,1,3,3,1,1,1,13,4
40,1,1,1,1,1,1,13,1
41,1,1,1,1,1,1,13,1
42,99,99,99,99,99,99,99,99
43,1,1,1,1,0,5,13,4
44,1,3,3,5,3,5,13,4
45,1,3,3,5,5,5,13,4
46,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,1,1,1,1,6,6,11,2
50,99,99,99,99,99,99,99,99
51,1,1,1,1,1,1,13,1
52,2,2,4,4,4,4,0,5
53,1,1,3,3,6,6,11,2
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.09325020694734813,0.09310591039905225,0.10776421817405123,0.12928488803837845,0.1204931201246269,0.13443828038855726,0.1625332208893264,0.13980949874151172
NMI,0.39115275646045899,0.37388631360874969,0.38805072007580932,0.43634306734403883,0.58934007444812642,0.62972663068552015,1.0,0.61673504534302159
