,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,1,1,4,4,4,4,4,4,2,0
1,0,0,0,0,6,6,6,6,2,1
2,0,3,4,4,4,4,4,4,2,0
3,2,2,2,2,2,2,8,8,1,2
4,1,3,4,4,4,4,4,4,2,0
5,2,2,2,2,2,2,2,2,1,3
6,2,2,2,2,6,6,6,6,1,1
7,0,0,0,5,5,5,5,5,1,1
8,0,0,0,5,5,5,5,5,2,1
9,1,3,3,3,3,3,3,3,0,4
10,1,3,3,3,3,3,3,3,0,4
11,2,2,2,2,2,2,2,2,1,3
12,2,2,4,2,2,4,2,2,1,2
13,2,2,2,2,2,2,2,9,1,2
14,2,2,2,2,2,2,2,2,1,2
15,2,2,2,2,2,2,2,2,1,5
16,2,2,2,2,2,2,2,2,1,3
17,2,2,2,2,2,2,2,2,1,5
18,2,2,2,2,2,2,2,2,1,5
19,2,2,2,2,2,2,2,2,1,5
20,2,2,2,2,2,2,2,2,1,5
21,2,2,2,2,2,2,2,2,1,5
22,2,2,2,2,2,2,2,2,1,5
23,2,3,3,3,6,3,6,9,0,2
24,1,1,1,1,1,1,1,1,3,7
25,1,1,1,1,1,1,1,1,3,6
26,2,2,2,2,2,2,2,2,1,2
27,1,1,1,1,1,1,1,1,3,6
28,2,2,2,2,1,1,1,1,2,3
29,1,1,1,1,1,1,1,1,3,7
30,0,3,3,3,3,3,3,3,0,4
31,0,3,3,3,3,3,3,3,0,4
32,0,3,3,3,3,3,3,3,0,4
33,1,3,3,3,3,3,3,3,0,6
34,1,1,1,1,1,1,1,1,3,6
35,0,3,4,4,4,4,4,4,2,0
36,0,0,0,5,5,5,5,5,2,1
37,1,1,1,1,1,1,1,1,3,6
38,1,1,1,1,1,1,1,1,3,7
39,1,1,1,1,1,1,1,1,3,7
40,1,1,1,1,6,7,7,7,3,6
41,0,0,4,5,6,7,7,7,3,8
42,2,2,4,5,6,7,7,7,3,8
43,1,1,1,1,1,1,1,1,3,6
44,1,1,1,1,1,1,1,1,3,7
45,2,2,2,2,2,5,8,8,1,2
46,1,1,1,1,1,1,1,1,3,7
47,1,1,1,1,1,1,1,1,3,7
48,1,1,1,1,1,1,1,1,3,7
49,1,1,1,1,1,1,1,1,3,7
50,1,1,1,1,1,1,1,1,3,6
51,1,1,1,1,1,1,1,1,3,6
52,1,1,1,1,1,1,1,1,3,6
53,1,1,1,1,1,1,1,1,3,7
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.09801942612294962,0.1308090881275356,0.1488061119347852,0.1513712722331332,0.14512846416851083,0.1417222956703099,0.14319685000183868,0.1384434948062527,0.15794998517382489,0.09182623506542364
NMI,0.48285922144063603,0.67670042660478813,0.76586140892834376,0.80604465735567266,0.73004340196113415,0.74018224615170303,0.74108025229707519,0.73180539605880668,1.0,0.64820043957069684
