,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,2,2,2,5,5,5,5,5,5,5,5,0
1,1,2,2,5,5,5,5,5,5,5,5,0
2,2,3,3,2,2,2,2,2,2,2,5,1
3,2,3,3,2,2,2,2,2,2,2,5,2
4,0,2,4,5,5,5,5,5,5,5,5,0
5,0,0,0,0,6,6,8,8,8,8,0,3
6,1,1,1,5,6,6,5,8,8,11,5,0
7,0,0,4,5,5,4,4,4,4,4,3,4
8,0,0,4,5,5,4,4,4,4,4,3,4
9,2,3,3,2,2,2,2,2,2,2,5,2
10,2,3,3,2,2,2,2,2,2,2,5,2
11,0,0,1,4,4,7,7,7,7,7,5,3
12,2,3,4,3,6,6,8,8,8,8,5,2
13,0,3,3,2,2,2,2,2,2,2,5,2
14,2,2,2,4,4,7,7,7,10,10,0,5
15,2,2,2,4,4,7,7,7,10,10,0,5
16,2,2,2,4,4,0,0,9,9,9,0,3
17,2,2,2,4,4,7,7,7,10,10,0,5
18,2,2,2,4,4,7,7,7,10,10,0,5
19,2,2,2,4,4,7,7,7,10,10,0,3
20,2,2,2,4,4,7,7,7,10,10,0,5
21,1,2,2,4,6,7,8,8,8,8,0,3
22,99,99,99,99,99,99,99,99,99,99,99,99
23,0,3,4,3,3,3,3,3,3,3,3,2
24,0,3,4,3,3,3,3,3,3,3,3,2
25,1,3,3,4,4,7,7,3,3,3,0,2
26,2,2,2,4,4,7,7,7,10,10,0,5
27,1,1,1,1,1,1,1,1,1,1,2,6
28,1,1,1,1,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,1,1,1,1,2,6
30,2,3,3,2,2,2,2,2,2,2,5,1
31,2,3,3,2,2,2,2,2,2,2,5,1
32,2,3,3,2,2,2,2,2,2,2,5,1
33,1,1,1,1,1,1,1,1,1,1,2,6
34,1,1,1,1,1,1,1,1,1,1,2,7
35,0,2,4,5,5,5,5,5,5,5,5,0
36,1,1,4,5,5,4,4,4,4,4,3,4
37,0,0,0,0,6,6,6,6,6,6,4,8
38,1,1,1,1,1,1,1,1,1,1,2,7
39,1,1,1,1,1,1,1,9,9,9,2,7
40,1,1,1,1,1,1,1,1,1,1,2,7
41,1,1,1,1,1,1,1,1,1,1,2,7
42,1,1,1,1,1,1,1,1,1,1,2,7
43,1,1,1,1,1,1,1,1,1,1,2,7
44,1,1,1,1,1,1,1,1,1,1,2,6
45,1,1,1,1,1,1,1,1,1,1,2,6
46,1,1,4,3,3,3,3,9,9,9,3,6
47,0,0,0,0,6,6,6,6,6,6,4,8
48,1,1,1,1,1,1,1,1,1,1,2,6
49,1,1,1,3,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,1,1,1,1,2,6
51,1,1,4,3,3,3,3,3,3,3,3,6
52,0,0,0,0,0,7,7,7,7,7,5,3
53,1,1,1,1,3,3,6,6,6,6,2,6
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.14100793311751958,0.20001065861655137,0.1791758365476674,0.2003078730042953,0.19799324861966008,0.20294918570595896,0.20559434823191394,0.19655237017464294,0.1979139239989005,0.19538258371346356,0.2221103291795559,0.157785443202249
NMI,0.42528353855635515,0.51890509149829411,0.65923085718031027,0.70457025939699647,0.70034921585787424,0.73313816595297598,0.7627939854726099,0.680322519248588,0.71721988367609923,0.71934716809437149,1.0,0.6532525840787019
