,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,2,5,5,5,5,5,5,5
1,2,2,2,2,2,2,2,2,2,2
2,2,2,2,5,5,5,5,5,5,5
3,2,2,4,4,2,7,7,7,7,7
4,0,0,2,5,5,5,5,5,5,5
5,2,2,2,5,5,5,2,2,5,5
6,2,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2
8,0,1,3,2,6,6,8,9,9,10
9,2,0,4,4,4,4,4,8,8,8
10,2,2,2,2,2,7,7,8,8,8
11,2,2,2,2,2,2,8,8,8,8
12,2,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,7,7,7,7,7
14,1,3,1,1,1,1,1,1,1,1
15,1,3,1,1,1,1,1,1,1,1
16,2,3,1,1,1,1,1,1,1,1
17,1,3,1,1,1,1,1,1,1,1
18,1,3,1,1,1,1,1,1,1,1
19,1,3,1,1,1,1,1,1,1,1
20,1,3,1,1,1,1,1,1,1,1
21,2,3,2,1,1,2,2,2,2,2
22,1,3,1,1,1,1,1,1,1,1
23,2,2,4,2,2,7,7,8,8,7
24,0,0,0,0,0,7,7,8,8,8
25,1,3,1,1,1,1,1,1,0,1
26,0,0,0,0,6,7,8,7,7,7
27,2,1,3,3,3,3,3,3,3,3
28,1,1,3,3,3,3,3,3,4,4
29,1,1,3,3,3,3,3,3,3,3
30,2,2,4,4,4,4,4,4,4,4
31,2,3,4,4,4,4,4,4,4,4
32,2,3,4,4,4,4,4,4,4,4
33,2,3,4,4,4,4,4,4,4,4
34,0,0,0,0,0,0,8,9,10,9
35,1,3,1,5,5,5,5,5,5,5
36,1,1,3,3,6,3,8,9,9,10
37,1,1,3,3,3,3,3,3,3,3
38,1,1,3,3,3,3,8,3,10,9
39,1,1,3,3,6,3,3,9,9,10
40,2,2,3,3,6,6,6,6,6,6
41,2,2,2,2,6,6,6,6,6,6
42,2,2,2,2,6,6,6,6,6,6
43,2,2,2,2,6,6,6,6,6,6
44,1,1,3,3,3,3,3,3,3,3
45,1,1,3,3,6,3,3,9,9,10
46,1,1,3,3,3,3,3,3,3,3
47,1,1,3,3,3,3,3,9,9,10
48,1,1,3,3,3,3,3,3,3,3
49,1,1,3,3,3,3,3,3,3,3
50,1,1,3,3,3,3,3,3,10,9
51,1,1,3,3,3,7,7,7,7,7
52,2,2,2,5,5,5,2,2,10,11
53,1,1,3,3,3,3,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
