,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,0,4,4,4,4,4,4,4,4,3,
1,0,0,0,5,5,5,5,5,5,5,0,
2,1,3,4,4,4,4,4,4,4,4,3,
3,1,3,3,3,3,6,3,3,8,8,2,
4,0,0,4,4,4,4,4,4,4,4,3,
5,2,3,4,4,4,4,4,4,4,4,3,
6,0,1,1,5,5,5,5,5,5,5,0,
7,0,3,3,5,5,5,5,5,5,5,0,
8,0,0,0,5,5,7,7,8,10,11,4,
9,0,3,3,3,3,6,3,3,8,8,2,
10,2,3,3,5,5,5,3,3,8,8,3,
11,1,2,2,2,2,2,1,2,2,2,3,
12,2,2,2,2,2,2,2,2,2,2,1,
13,2,3,3,3,3,3,3,3,3,3,2,
14,2,2,2,2,2,2,2,9,9,9,1,
15,2,2,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,2,2,1,
23,0,3,3,3,3,6,3,3,8,8,2,
24,1,3,3,3,3,3,8,8,3,3,2,
25,0,0,0,0,3,3,8,9,9,9,2,
26,1,3,3,3,3,3,8,8,3,3,2,
27,1,1,1,1,1,1,1,1,1,1,4,
28,1,1,1,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,1,1,1,4,
30,1,1,3,3,6,6,6,6,6,6,2,
31,1,1,1,1,6,6,6,6,6,6,2,
32,0,0,3,3,6,6,6,6,6,6,2,
33,1,3,3,3,6,6,6,6,6,6,2,
34,0,1,1,1,1,1,1,1,1,1,4,
35,1,3,4,4,4,4,4,4,4,4,3,
36,0,0,0,3,3,7,1,8,10,11,4,
37,0,0,0,3,3,7,7,7,10,10,4,
38,0,1,1,1,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,1,1,1,1,4,
40,1,1,1,1,1,1,7,7,7,7,4,
41,2,3,3,5,6,7,7,7,7,7,4,
42,0,3,3,5,6,7,7,7,7,7,4,
43,1,1,1,1,1,3,8,8,3,3,2,
44,1,1,1,1,1,1,1,1,1,1,4,
45,0,0,0,0,0,0,0,9,9,9,2,
46,1,1,1,1,1,1,1,1,1,1,4,
47,2,3,3,3,3,7,8,8,10,10,4,
48,1,1,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,1,1,1,1,4,
51,1,1,1,1,1,1,1,1,1,1,4,
52,1,1,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.08657713344408749,0.09315265928542837,0.10653564597411316,0.11839968182765227,0.1183997353892087,0.12594891050555038,0.11822984655152047,0.11342424357956116,0.1182470407636397,0.11624924493088058,0.14353400106841654,
NMI,0.29954467486398811,0.39780185045498995,0.52607706630070306,0.62569166468298976,0.6203038235791305,0.77641567806630285,0.74047065022903569,0.68041663492508131,0.71343973250467096,0.70501467703326337,1.0,
Silhoutte,0.08541635,0.06239755,0.08312484,0.09485856,0.1127712,0.14545702,0.15126778,0.15614762,0.19732633,0.21999938,0.09530008,
