,Cluster 2,Cluster 3,Cluster 4,Louvain,
0,1,3,3,11,
1,99,99,99,99,
2,99,99,99,99,
3,2,2,4,8,
4,0,3,3,11,
5,2,3,4,11,
6,1,3,3,11,
7,0,3,3,11,
8,99,99,99,99,
9,2,2,2,8,
10,2,2,4,8,
11,99,99,99,99,
12,1,1,4,11,
13,1,1,4,11,
14,1,1,1,11,
15,99,99,99,99,
16,1,1,1,11,
17,99,99,99,99,
18,1,1,1,11,
19,1,1,1,11,
20,99,99,99,99,
21,1,1,1,11,
22,99,99,99,99,
23,2,2,2,8,
24,99,99,99,99,
25,99,99,99,99,
26,1,1,1,11,
27,1,1,1,23,
28,1,1,1,23,
29,1,1,1,23,
30,2,2,2,8,
31,2,2,2,8,
32,2,2,2,8,
33,2,2,2,8,
34,99,99,99,99,
35,2,2,4,8,
36,99,99,99,99,
37,99,99,99,99,
38,1,1,1,23,
39,99,99,99,99,
40,1,1,1,23,
41,99,99,99,99,
42,99,99,99,99,
43,2,2,2,8,
44,99,99,99,99,
45,99,99,99,99,
46,99,99,99,99,
47,99,99,99,99,
48,99,99,99,99,
49,1,1,1,23,
50,1,1,1,23,
51,1,1,1,23,
52,1,1,1,23,
53,2,2,2,8,
54,99,99,99,99,
55,99,99,99,99,
Modularity,0.03241219276225804,0.05630986059699169,0.0543111418497889,0.11371749488171605,
NMI,0.60639007690317304,0.70347520171140987,0.55835509341441936,1.0,
Silhoutte,0.49639435,0.5322164,0.50430025,0.61979196,
