,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,0,2,6,8,8,1,1
2,2,2,3,5,5,5,5,5,5,5,1,2
3,2,2,3,3,3,3,3,8,10,10,1,3
4,0,0,0,0,0,0,0,8,10,11,0,1
5,1,2,3,1,1,3,1,8,10,1,0,3
6,0,0,0,0,4,7,8,3,8,8,1,1
7,0,3,4,4,4,3,4,7,7,7,3,4
8,0,2,3,3,3,3,8,3,3,3,1,5
9,1,1,1,1,1,1,1,1,1,1,0,0
10,2,2,3,3,3,3,3,8,10,10,1,3
11,1,1,1,1,1,1,1,1,1,1,0,0
12,2,2,3,3,3,3,3,8,10,10,1,3
13,1,1,1,1,1,1,1,1,1,1,0,0
14,0,0,0,0,0,0,3,9,9,9,3,6
15,0,0,4,4,6,6,6,6,6,6,3,6
16,0,0,4,4,4,4,7,4,4,4,3,7
17,0,0,0,2,6,2,7,9,9,9,3,6
18,1,1,1,1,1,1,7,1,1,1,0,7
19,0,0,0,3,3,7,8,3,3,3,1,5
20,2,2,3,5,5,5,5,5,5,5,1,2
21,1,1,1,1,1,1,1,1,1,1,0,0
22,2,2,3,5,5,5,5,5,5,5,1,2
23,0,0,4,4,4,4,4,4,4,4,3,4
24,0,0,4,4,4,4,7,4,4,4,3,4
25,2,2,3,3,3,3,3,8,10,10,1,3
26,0,2,3,5,6,6,6,6,6,6,3,6
27,0,3,3,3,3,7,8,3,3,3,1,5
28,1,2,3,1,1,1,3,8,10,10,0,3
29,0,3,2,2,2,7,8,3,3,3,2,5
30,2,2,3,3,3,3,3,8,10,10,1,3
31,2,2,3,5,5,5,5,5,5,5,1,2
32,2,2,3,5,5,5,5,5,5,5,1,2
33,0,3,3,3,3,3,4,8,10,10,1,4
34,2,3,2,2,2,2,2,2,2,2,2,8
35,1,1,1,1,1,1,1,1,1,1,0,0
36,1,3,2,2,2,2,1,1,7,7,2,8
37,0,0,0,0,0,0,0,0,6,11,0,1
38,0,0,0,0,0,0,0,0,6,11,2,1
39,2,3,4,4,4,4,7,4,4,4,2,7
40,2,3,2,2,2,2,2,2,2,2,2,8
41,0,0,0,0,0,2,7,7,7,7,2,8
42,2,3,2,2,2,2,2,2,2,2,2,8
43,2,3,2,2,2,7,2,2,2,2,2,8
44,2,3,2,2,2,2,2,2,2,2,2,8
45,0,0,0,0,6,6,6,6,6,6,3,6
46,2,2,4,4,6,4,7,4,4,4,3,6
47,0,3,2,2,2,2,2,2,0,8,2,1
48,0,3,2,3,2,3,4,7,7,7,2,8
49,2,3,4,2,4,2,4,4,4,4,2,4
50,2,3,2,2,2,2,2,2,2,2,2,4
51,0,0,0,0,0,6,6,7,7,7,3,6
52,1,1,1,1,1,1,1,1,1,1,0,0
53,2,3,2,4,2,6,6,6,6,6,2,6
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.11535317688377125,0.15534245953570291,0.1619117005133737,0.1512996592516938,0.1646558009756968,0.15327395652917253,0.15594742281922794,0.16231833178528504,0.15830395757667803,0.1588130542017554,0.20383562131219213,0.15544267659311595
NMI,0.38213991181739698,0.4777572233445031,0.57067593949816198,0.57039174642889967,0.66453711583105513,0.5166167655805376,0.46955736036199552,0.53331025001426169,0.55615946518436088,0.57905956885727228,1.0,0.52498710117213998
