,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,2,2,2,2,2,2,2,2
1,2,2,4,4,4,7,7,4,4,4
2,2,2,2,2,2,2,2,2,2,2
3,2,3,3,5,5,5,5,5,5,5
4,2,2,2,2,2,2,2,2,2,2
5,2,2,4,4,0,0,0,4,0,5
6,1,1,4,4,4,7,7,4,4,4
7,0,0,4,4,4,7,7,9,9,9
8,0,0,4,4,0,4,4,9,9,9
9,2,3,3,5,5,5,5,5,5,5
10,0,3,3,5,4,7,7,5,4,4
11,2,2,2,2,2,2,8,8,8,8
12,0,1,4,4,4,7,7,4,4,4
13,2,3,3,5,5,5,5,5,5,5
14,2,2,4,5,5,4,4,7,7,7
15,2,2,4,4,6,4,4,7,7,7
16,0,3,4,3,6,6,6,6,6,6
17,2,2,4,4,6,4,4,7,7,7
18,2,2,4,4,6,4,4,7,7,7
19,0,0,0,0,0,0,0,0,10,10
20,0,2,4,4,6,4,8,8,8,11
21,1,1,1,2,4,7,7,4,4,4
22,99,99,99,99,99,99,99,99,99,99
23,2,3,3,5,5,5,5,5,5,5
24,0,3,3,5,5,5,5,5,10,10
25,1,3,3,5,1,6,5,5,10,10
26,2,2,4,4,6,4,4,7,7,7
27,99,99,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,1,3,3,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3,3,3
32,0,3,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3,3
34,1,1,1,1,5,7,8,8,8,11
35,2,2,2,2,2,2,2,2,2,2
36,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,6,6,6,6,6
39,1,1,1,1,1,6,6,6,6,6
40,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1
45,99,99,99,99,99,99,99,99,99,99
46,2,0,2,2,6,6,6,6,6,6
47,99,99,99,99,99,99,99,99,99,99
48,0,1,0,3,6,6,6,6,6,6
49,1,3,3,1,1,1,3,3,10,11
50,1,1,1,1,1,1,1,1,1,10
51,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0,0,6,8,8,8,8
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
