,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,0,0,0,6,6,6,6,6,0,
1,1,3,1,1,1,1,1,9,10,0,
2,1,3,3,3,3,3,3,3,3,1,
3,1,1,1,1,1,1,8,8,8,0,
4,0,0,0,0,6,6,6,6,6,0,
5,1,1,1,1,1,1,1,1,1,0,
6,2,2,1,1,1,1,1,9,10,0,
7,1,1,1,4,4,4,4,9,10,0,
8,1,1,1,1,1,1,1,1,1,0,
9,1,1,4,2,2,2,8,8,8,0,
10,1,1,1,1,4,4,8,8,8,0,
11,2,2,2,2,2,7,2,2,2,2,
12,1,1,1,1,1,1,1,1,1,0,
13,1,1,1,1,1,1,8,8,8,0,
14,0,1,4,4,4,4,4,4,4,0,
15,1,1,1,1,1,1,1,1,1,0,
16,2,3,3,3,3,2,2,3,3,2,
17,1,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,1,1,0,
20,1,3,3,3,3,3,3,3,3,1,
21,1,1,1,1,1,1,1,1,1,0,
22,1,3,3,3,3,3,3,3,1,1,
23,1,1,4,4,4,4,8,8,8,0,
24,0,3,4,4,4,4,4,4,4,0,
25,1,1,1,1,1,1,1,1,1,0,
26,1,1,0,0,0,7,7,7,7,0,
27,2,2,2,2,2,2,2,2,2,2,
28,1,3,3,3,3,3,3,3,3,1,
29,2,2,2,2,2,2,2,2,2,2,
30,1,3,3,3,3,3,3,3,3,1,
31,0,3,3,3,3,3,3,3,3,1,
32,0,3,3,3,3,3,3,3,3,1,
33,1,3,3,3,3,3,3,3,3,1,
34,2,2,2,2,2,2,4,9,9,2,
35,2,2,2,2,6,6,6,6,6,2,
36,2,2,2,2,2,2,2,2,2,2,
37,0,1,0,0,0,0,4,0,9,2,
38,1,1,0,0,0,4,4,9,9,2,
39,2,2,2,2,2,2,2,2,2,2,
40,2,2,2,5,5,5,5,5,5,2,
41,1,1,0,5,5,5,5,5,5,2,
42,1,1,2,5,5,5,5,5,5,2,
43,2,2,4,5,5,5,5,5,5,2,
44,2,2,2,2,2,2,2,2,2,2,
45,2,2,2,0,0,7,7,7,7,2,
46,2,2,2,2,2,2,2,2,4,2,
47,2,2,2,2,2,2,2,2,2,2,
48,2,2,2,2,2,2,2,2,2,2,
49,2,3,3,3,3,3,3,3,3,2,
50,2,2,4,4,4,7,7,7,7,2,
51,2,2,4,4,4,4,4,4,4,0,
52,0,3,4,4,4,4,4,4,4,0,
53,2,2,4,4,4,4,4,4,4,2,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.102701016443354,0.10087039876861494,0.12540345403740763,0.11551676897687142,0.11444697330125247,0.10703030442340951,0.1164185380270214,0.10812412428167266,0.10705162775677353,0.1503681835476242,
NMI,0.33672022197294377,0.43720021768722739,0.58433975183524989,0.52611697160626381,0.50792699109447892,0.52478713486115658,0.54340579016278379,0.49944589079839236,0.48341526799219048,1.0,
Silhoutte,0.0998232,0.10674008,0.14728437,0.16666281,0.17430941,0.16684691,0.18362303,0.21161164,0.21677449,0.11003164,
