,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,3,0
1,0,0,0,5,0,0,8,8,8,8,8,3,1
2,1,1,1,1,1,7,7,7,7,7,7,0,2
3,0,3,3,3,3,3,3,3,3,3,3,1,3
4,0,0,4,4,4,4,4,4,4,4,4,3,0
5,1,1,4,4,4,4,4,4,4,4,4,3,4
6,0,0,0,5,0,0,8,8,8,8,8,3,1
7,1,1,4,5,6,7,8,8,8,8,8,3,4
8,0,0,0,1,6,6,6,6,6,6,6,3,5
9,0,0,0,5,5,7,7,7,7,7,7,0,2
10,1,1,4,4,1,1,1,1,1,1,1,0,4
11,1,1,4,4,1,1,1,9,9,9,9,3,4
12,1,1,4,4,1,1,1,1,1,1,1,0,6
13,0,3,3,3,3,0,0,3,3,1,12,1,1
14,1,1,1,1,1,1,1,1,1,11,11,0,2
15,1,1,1,1,1,1,1,1,1,1,1,0,6
16,1,1,4,4,1,1,1,1,1,1,1,0,4
17,1,1,1,1,1,1,1,1,10,10,10,0,6
18,1,1,1,1,1,1,1,1,1,1,1,0,6
19,2,2,1,2,4,7,7,7,10,10,10,0,6
20,1,1,1,1,1,1,1,1,1,1,1,0,6
21,1,1,4,4,1,1,1,1,1,1,1,0,4
22,2,2,2,2,2,2,2,2,2,2,2,2,7
23,1,1,1,5,5,7,7,7,7,7,7,0,2
24,2,2,2,2,2,2,2,2,2,2,2,2,7
25,0,0,1,1,0,0,0,0,0,11,11,0,2
26,2,2,2,2,2,2,2,2,2,2,2,2,7
27,0,2,0,1,0,7,7,7,10,10,10,0,6
28,1,1,4,4,1,1,1,9,9,9,9,3,4
29,2,2,2,2,2,5,5,9,9,9,9,2,7
30,0,3,3,3,3,3,3,3,3,3,3,1,3
31,0,3,3,3,3,3,3,3,3,3,3,1,3
32,0,3,3,3,3,3,3,3,3,3,3,1,3
33,0,3,3,3,3,3,3,3,3,3,3,1,3
34,1,3,3,5,5,5,5,5,5,5,12,1,8
35,2,2,4,4,4,4,4,4,4,4,4,3,0
36,0,0,0,1,6,6,6,6,6,6,6,3,5
37,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,0,12,2,1
39,2,2,2,5,5,5,5,9,9,9,12,2,8
40,2,2,2,5,5,5,5,5,5,5,5,2,8
41,1,1,0,5,5,5,5,5,5,5,5,2,8
42,0,0,0,5,5,5,5,5,5,5,5,2,8
43,2,2,2,2,2,2,2,2,2,2,2,2,7
44,2,2,2,5,5,5,5,9,9,9,9,2,8
45,2,2,2,2,2,2,2,2,2,2,2,2,7
46,2,2,2,2,6,6,6,6,6,6,6,3,5
47,0,0,0,4,6,6,6,9,9,9,9,3,1
48,2,2,2,2,6,6,6,6,6,6,6,2,5
49,0,3,3,3,3,3,3,3,3,3,3,1,8
50,2,2,2,2,2,2,2,2,2,2,2,2,7
51,2,2,2,2,2,2,2,2,2,2,2,2,7
52,2,2,2,2,2,2,2,2,2,2,2,2,7
53,2,2,2,2,2,2,2,9,2,9,2,2,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.13856223569589282,0.16030856428101684,0.17988676589482142,0.15872401658404767,0.17256652176554443,0.16948012946090735,0.17335348405179882,0.16643431415748072,0.16835394263554906,0.1622274372267902,0.15796840273401855,0.2074203087698192,0.16333397036799846
NMI,0.32106017495929717,0.50373686956877972,0.63638483434729021,0.47423397176122756,0.5663437463039217,0.57711122862798503,0.63677875931807926,0.65848474911019617,0.65348637618764049,0.61194160014794352,0.65763372013815657,1.0,0.59012549657806357
