,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,1,3,1,5,6,6,6,6
1,1,0,1,1,1,6,8,8
2,2,2,2,2,2,2,2,2
3,2,3,4,4,4,4,4,4
4,0,0,1,5,6,6,6,6
5,2,2,2,2,2,2,2,2
6,1,0,1,1,1,6,8,8
7,2,2,3,3,3,5,5,3
8,2,2,2,2,2,2,2,2
9,2,3,4,4,4,4,4,4
10,0,3,1,5,6,6,6,6
11,2,2,2,2,2,2,2,2
12,1,1,3,3,3,3,3,3
13,2,1,3,3,3,3,3,3
14,2,2,2,2,2,2,2,2
15,2,1,3,3,3,3,3,5
16,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,0,3,4,4,4,4,4,4
20,2,3,3,3,3,3,3,3
21,2,2,2,2,6,6,8,8
22,2,1,4,4,4,4,3,3
23,1,1,3,3,3,3,3,3
24,1,1,3,3,3,3,3,3
25,2,2,3,2,3,3,3,2
26,1,1,3,5,5,3,3,5
27,1,3,1,1,1,1,1,1
28,2,2,4,4,4,4,4,4
29,1,3,1,1,1,1,1,1
30,2,3,4,4,4,4,4,4
31,2,2,4,4,4,4,4,4
32,2,2,4,4,4,4,4,4
33,2,3,4,4,4,4,4,4
34,1,3,1,1,5,5,5,9
35,1,3,1,1,1,1,1,1
36,0,0,0,5,5,5,5,9
37,1,3,1,1,1,1,1,1
38,1,3,1,1,1,1,1,1
39,2,3,1,1,1,1,1,1
40,2,3,3,3,3,7,7,7
41,1,3,1,1,1,7,7,7
42,2,3,1,1,1,7,7,7
43,1,3,1,1,1,3,3,5
44,1,3,1,1,1,1,1,1
45,1,2,3,5,5,5,5,5
46,1,1,3,3,3,3,3,3
47,2,2,2,2,2,2,2,2
48,1,3,1,1,1,1,1,1
49,1,3,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,3,3,3,3,3,3
52,1,1,3,3,3,3,3,3
53,1,3,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
