,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,0,3,3,3,3,3,0,
1,1,1,1,1,1,7,4,
2,0,3,3,3,3,3,0,
3,2,3,3,5,5,5,1,
4,0,3,3,3,3,3,0,
5,2,2,2,2,2,2,0,
6,2,2,2,2,2,2,5,
7,2,2,2,5,6,6,5,
8,2,2,2,2,6,6,5,
9,1,3,3,5,5,5,1,
10,1,3,3,5,5,5,1,
11,1,1,4,3,3,3,0,
12,1,1,4,3,3,3,0,
13,1,3,3,5,5,5,1,
14,1,3,3,5,5,5,1,
15,1,3,3,5,5,5,1,
16,2,2,2,2,2,2,5,
17,2,2,2,2,2,2,5,
18,2,2,2,2,2,2,5,
19,2,2,2,2,2,2,5,
20,2,2,2,2,2,2,5,
21,2,2,2,2,2,2,5,
22,99,99,99,99,99,99,99,
23,0,3,3,5,5,5,1,
24,2,2,2,2,2,2,5,
25,99,99,99,99,99,99,99,
26,1,3,3,5,5,5,1,
27,1,1,1,1,4,4,4,
28,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,4,
30,1,1,4,4,4,4,4,
31,1,1,4,4,4,4,4,
32,1,1,4,4,4,4,4,
33,1,1,4,4,4,7,4,
34,2,2,4,4,4,7,5,
35,0,3,3,3,3,3,0,
36,2,2,2,5,6,6,5,
37,1,1,1,1,1,1,4,
38,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,4,
40,1,1,1,1,1,1,4,
41,1,1,1,1,1,1,4,
42,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,4,
44,1,1,1,1,1,1,4,
45,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,4,
51,2,2,1,5,6,6,5,
52,0,3,3,3,3,3,0,
53,0,0,0,0,0,0,0,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.11148320434213478,0.18793299340560887,0.18658378042133733,0.2064910883959235,0.21498213015437428,0.2085283402175403,0.24243652577574823,
NMI,0.6060220934289684,0.7556287280366335,0.62431294775520729,0.73189804892129928,0.78222369211756415,0.76918375489398516,1.0,
Silhoutte,0.20053363,0.25841798,0.27419783,0.34188955,0.37920702,0.37366877,0.34410783,
