,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,1,4,4,4,4,4,4,4,4,0,
1,0,0,0,5,5,5,5,5,5,5,1,
2,0,3,3,3,3,3,3,3,3,3,3,
3,2,3,3,3,3,3,3,3,3,3,3,
4,0,0,4,4,4,4,4,4,4,4,0,
5,2,2,2,2,2,2,2,2,2,2,2,
6,0,0,4,5,5,5,5,5,5,5,1,
7,0,0,4,5,5,5,5,5,5,5,1,
8,0,0,1,5,5,5,5,9,10,10,5,
9,0,3,3,3,3,3,3,3,3,3,3,
10,2,2,3,2,2,2,3,2,2,2,2,
11,2,2,2,2,2,2,2,2,2,2,2,
12,2,2,2,2,2,2,2,2,2,2,2,
13,2,2,2,2,2,3,3,3,3,2,2,
14,0,0,1,1,5,7,7,7,7,7,4,
15,2,2,2,2,2,2,2,9,8,11,2,
16,1,1,1,1,1,1,1,1,1,1,5,
17,2,2,2,2,2,2,2,9,2,2,2,
18,2,2,2,2,2,2,2,9,8,2,2,
19,2,2,2,2,2,2,2,9,2,2,2,
20,2,2,2,2,2,2,2,9,8,2,2,
21,2,2,2,2,2,2,2,2,2,2,2,
22,1,1,2,2,2,2,2,9,8,2,2,
23,0,3,3,3,3,3,3,3,3,3,3,
24,2,2,4,0,5,7,7,7,7,7,4,
25,0,0,0,0,5,7,7,7,7,7,4,
26,0,0,4,4,0,0,0,0,8,11,3,
27,1,1,1,1,1,1,1,1,1,2,2,
28,2,2,1,1,1,1,1,2,2,2,2,
29,1,1,1,1,1,1,1,1,1,1,5,
30,0,3,3,3,3,3,3,3,3,3,3,
31,1,3,4,3,3,5,8,8,9,9,3,
32,0,3,4,3,3,3,8,8,9,9,3,
33,1,1,4,4,6,6,8,8,9,9,3,
34,1,1,1,1,1,1,1,1,1,1,5,
35,0,0,3,4,4,4,4,4,4,4,0,
36,1,1,1,1,1,1,1,1,10,10,5,
37,0,3,0,3,6,6,7,5,5,8,5,
38,1,1,1,1,1,1,1,1,1,1,5,
39,1,1,1,1,1,1,1,1,1,1,5,
40,2,1,4,4,6,6,6,6,6,6,5,
41,2,0,0,0,6,6,6,6,6,6,5,
42,2,2,4,4,6,6,6,6,6,6,5,
43,1,1,4,4,6,6,6,6,6,6,5,
44,1,1,1,1,6,6,6,1,1,1,5,
45,1,1,1,1,1,1,1,1,1,1,5,
46,1,1,1,1,1,1,1,1,1,1,5,
47,0,3,0,3,6,6,8,5,5,8,5,
48,1,1,1,1,1,1,1,1,1,1,5,
49,1,1,1,1,1,1,1,1,1,1,5,
50,1,1,4,1,1,1,8,8,9,9,3,
51,1,1,1,1,1,1,1,1,1,1,5,
52,1,1,1,1,1,1,1,1,1,1,5,
53,1,1,1,1,1,1,1,1,1,1,5,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.10715518670315624,0.1115932755781591,0.11529791769621478,0.12675282088236495,0.1437253507389643,0.13851935262969195,0.1364502774272631,0.13072550928425453,0.13250580038398513,0.14065482030983606,0.16514631502155389,
NMI,0.37141987825383405,0.48809631057534958,0.51389419245455759,0.59289486863042051,0.70694543695014211,0.6798140808676193,0.68845956889615401,0.71553877250557063,0.71393768297170535,0.82618807254929727,1.0,
Silhoutte,0.06494175,0.08074353,0.08598867,0.13188195,0.16105639,0.18382775,0.2009492,0.21202528,0.21898376,0.25680101,0.17802491,
