,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,0,0,4,5,6,7,8,8,8,8,8
1,0,0,0,0,4,7,1,7,1,7,7
2,1,1,4,1,6,6,6,6,6,6,6
3,1,1,4,1,6,6,6,6,6,6,6
4,0,0,4,4,6,4,8,8,8,8,8
5,0,0,0,0,0,0,0,0,0,11,11
6,0,3,3,3,3,3,3,3,3,3,3
7,0,0,0,4,5,5,4,9,10,10,10
8,0,3,1,4,5,5,4,9,10,10,10
9,1,1,4,1,6,6,6,6,6,6,6
10,1,1,1,1,6,6,1,1,1,1,1
11,1,1,1,1,5,5,4,1,1,1,1
12,1,1,1,1,6,6,6,6,6,6,6
13,2,2,2,2,2,2,2,2,9,2,9
14,2,2,2,5,2,2,5,2,2,5,2
15,2,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2
20,2,2,2,4,5,5,7,9,10,9,9
21,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2
23,1,1,4,4,6,4,7,4,4,4,1
24,1,1,4,5,6,6,6,6,6,6,6
25,1,1,1,1,5,5,4,1,7,11,12
26,2,3,3,3,3,3,7,7,9,7,7
27,1,1,1,1,5,1,1,1,1,1,1
28,1,3,3,3,3,3,3,3,3,3,3
29,1,3,3,3,3,3,3,3,3,3,3
30,0,3,3,3,3,3,3,3,3,3,3
31,0,0,4,4,4,4,7,4,4,4,4
32,1,1,1,1,4,4,7,4,4,4,1
33,1,1,4,4,4,4,7,4,4,4,4
34,1,1,1,1,4,4,7,1,4,1,1
35,1,1,4,5,6,7,8,8,8,8,8
36,0,3,3,4,5,5,4,9,10,10,10
37,1,1,1,1,6,6,6,6,6,6,6
38,0,3,3,3,3,3,3,3,3,3,3
39,0,3,3,3,3,3,3,3,3,3,3
40,0,0,4,5,1,1,5,5,5,5,5
41,1,1,1,1,6,1,1,1,1,1,1
42,0,0,4,5,1,1,5,5,5,5,5
43,0,3,3,3,3,3,3,3,3,3,3
44,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,5
46,1,1,4,4,6,6,6,6,6,6,6
47,0,0,0,0,0,0,0,7,7,11,12
48,1,1,1,1,6,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1
50,1,3,3,3,3,3,3,3,3,3,3
51,1,1,1,1,1,1,1,1,1,1,1
52,1,1,4,4,6,4,7,1,4,1,1
53,1,1,1,1,6,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
