,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,0,0,0,6,6,6,6,6
1,2,3,1,3,1,7,7,7,7
2,1,3,3,3,3,3,3,3,3
3,1,1,4,4,4,4,8,8,4
4,0,0,0,0,6,6,6,6,6
5,1,1,2,2,2,2,2,2,2
6,2,2,2,1,1,7,7,7,7
7,1,1,4,4,4,7,7,7,7
8,1,1,2,5,5,7,7,1,10
9,1,1,4,4,4,4,4,8,4
10,1,1,4,4,4,4,4,8,4
11,0,0,0,1,1,1,1,9,9
12,1,1,2,2,2,2,2,2,2
13,1,1,4,4,4,4,8,8,4
14,0,0,2,2,2,2,2,2,2
15,1,1,2,2,2,2,2,2,2
16,2,3,3,3,3,3,1,3,3
17,1,1,2,2,2,2,2,2,2
18,1,1,2,2,2,2,2,2,2
19,1,1,2,2,2,2,2,2,2
20,1,3,3,3,3,3,3,3,3
21,1,1,2,2,2,7,7,7,7
22,1,3,3,3,3,3,3,3,3
23,1,1,4,4,4,4,4,8,4
24,2,1,4,4,4,4,4,4,4
25,1,1,2,2,2,2,2,2,2
26,1,1,4,0,0,2,8,9,9
27,2,2,1,1,1,1,1,4,1
28,2,3,3,3,3,3,3,3,3
29,2,2,1,1,1,1,1,4,1
30,1,3,3,3,3,3,3,3,3
31,2,3,3,3,3,3,3,3,3
32,0,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3
34,2,2,1,1,1,1,0,4,8
35,2,2,1,1,6,6,6,4,1
36,0,0,1,5,1,1,1,1,10
37,1,1,4,5,0,0,1,1,8
38,1,1,4,4,4,4,4,1,8
39,2,2,1,1,1,1,1,4,1
40,2,2,1,5,5,5,5,5,5
41,1,1,2,5,5,5,5,5,5
42,2,2,1,5,5,5,5,5,5
43,2,2,1,5,5,5,5,4,1
44,2,2,1,1,1,1,1,4,1
45,2,2,1,1,0,7,8,9,9
46,2,2,1,1,1,1,1,4,1
47,2,2,1,1,1,1,1,1,1
48,2,2,1,1,1,1,1,4,1
49,2,2,1,1,1,3,3,4,3
50,2,2,1,1,1,4,4,4,1
51,2,2,4,4,4,4,4,4,1
52,0,1,4,4,4,4,4,4,4
53,2,2,1,1,1,1,4,4,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
