,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,1,1,1,1,1,1,1,1,1
1,0,0,0,2,6,6,6,6,6
2,1,3,3,3,3,3,8,8,8
3,1,3,4,4,4,4,4,4,4
4,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1
6,0,0,0,2,6,6,6,6,6
7,1,1,1,1,6,6,6,6,6
8,1,1,1,1,1,1,1,1,1
9,1,3,3,3,3,3,8,8,8
10,1,3,3,3,3,3,8,8,8
11,2,2,4,1,1,4,4,2,2
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1
15,1,1,2,5,5,5,5,5,5
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,2,5,5,5,5,5,5
19,2,2,2,5,5,5,5,5,5
20,1,1,2,5,5,5,5,5,5
21,0,1,0,5,6,6,6,9,9
22,1,1,2,5,5,5,5,5,5
23,2,3,4,4,4,4,4,4,4
24,2,2,4,4,4,2,2,9,9
25,1,3,4,3,3,3,4,4,8
26,2,2,4,2,2,2,2,9,9
27,2,2,0,1,6,1,1,2,2
28,1,1,1,1,1,1,1,1,1
29,2,2,4,2,2,2,2,2,2
30,0,3,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3,3
32,0,3,3,3,3,3,3,3,3
33,0,3,3,3,3,3,3,3,3
34,0,0,0,0,0,0,3,8,10
35,2,2,4,4,4,4,4,4,4
36,0,0,2,2,2,1,8,8,8
37,2,2,2,2,2,7,8,8,8
38,1,0,2,0,0,7,7,7,7
39,2,2,2,2,2,6,8,2,2
40,0,0,0,0,6,7,7,7,7
41,0,0,0,2,2,7,7,7,7
42,1,0,1,3,6,7,7,7,7
43,2,2,4,4,4,4,4,4,4
44,2,2,4,2,2,4,4,2,2
45,2,2,4,2,2,2,2,9,9
46,2,2,4,4,4,4,4,4,4
47,2,2,2,2,2,2,2,9,9
48,2,2,4,2,2,4,4,2,2
49,2,2,2,2,2,6,1,2,2
50,2,2,4,4,4,4,4,4,4
51,2,2,4,4,4,4,4,4,4
52,2,2,4,4,4,4,4,4,4
53,2,2,4,4,4,4,4,4,4
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
