,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,0,0
1,0,1,3,5,6,6,6,0,1
2,0,3,3,3,3,3,3,0,0
3,2,2,2,2,2,2,2,0,2
4,0,3,3,3,3,3,3,0,0
5,2,2,2,2,2,2,2,0,2
6,0,1,3,5,6,6,6,0,1
7,0,1,3,5,6,6,6,0,1
8,2,2,1,1,1,1,1,1,3
9,1,3,3,3,5,5,8,0,4
10,2,2,2,5,5,5,8,0,5
11,1,3,3,3,5,5,8,0,4
12,2,2,2,5,2,2,8,0,5
13,2,3,2,3,5,5,8,0,4
14,2,2,2,2,5,5,8,0,5
15,2,2,2,2,2,2,2,0,5
16,2,2,2,2,2,2,2,0,2
17,2,2,2,2,2,2,2,0,2
18,2,2,2,2,2,2,2,0,5
19,2,2,2,2,2,2,2,0,2
20,2,2,2,2,2,2,2,0,5
21,2,2,2,2,2,2,2,0,2
22,2,2,2,2,2,2,2,0,2
23,1,1,4,4,4,4,4,2,3
24,0,3,4,4,4,4,4,2,6
25,1,1,1,1,1,1,1,1,0
26,2,3,4,4,4,4,4,2,6
27,1,1,1,1,1,1,1,1,7
28,1,1,1,1,1,1,1,1,7
29,1,1,1,1,1,1,1,1,7
30,2,1,1,1,1,1,7,0,3
31,0,3,4,4,4,7,7,0,0
32,2,1,4,4,4,7,7,0,0
33,2,2,2,2,2,2,2,0,2
34,1,1,1,1,1,1,1,1,3
35,1,1,1,1,1,1,1,1,3
36,1,1,1,1,1,1,1,1,3
37,1,1,1,1,1,1,1,1,3
38,2,2,4,4,4,4,4,2,0
39,1,1,1,1,1,1,1,1,3
40,2,2,2,5,6,7,5,2,8
41,2,2,4,5,6,7,5,2,8
42,2,2,2,5,6,7,5,2,8
43,1,3,4,4,4,4,4,2,6
44,1,1,1,1,1,1,1,1,7
45,1,1,1,1,1,1,1,1,7
46,1,1,1,1,1,1,1,1,7
47,1,1,1,1,1,1,1,1,3
48,1,1,1,1,1,1,1,1,7
49,1,1,1,1,1,1,1,1,7
50,2,3,4,4,4,4,4,2,6
51,1,1,1,1,1,1,1,1,7
52,1,1,1,1,1,1,1,1,7
53,1,1,1,1,1,1,1,1,7
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.08579583212391073,0.09241478505881191,0.12118540391498578,0.12350345671761159,0.1271551990027509,0.12947406395782496,0.1308232698425802,0.14789716335211409,0.07771544995234812
NMI,0.3909713235601876,0.32411303903852778,0.6419102602392982,0.61514946193309528,0.61252948363650384,0.66902033170068564,0.74745878643602848,1.0,0.54915744490885865
