,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,1,4,4,4,0,0
1,0,3,3,3,6,1,1
2,1,1,4,4,4,0,0
3,2,2,2,2,2,1,2
4,1,1,4,4,4,0,0
5,2,2,4,2,2,0,2
6,2,3,3,3,6,1,1
7,2,2,2,2,2,1,2
8,1,1,1,1,1,2,3
9,1,1,4,4,4,1,4
10,2,2,2,2,2,1,2
11,1,1,1,1,1,2,3
12,2,2,2,2,2,1,2
13,2,2,2,2,2,1,2
14,2,2,2,2,2,1,5
15,2,2,2,2,2,1,5
16,2,2,2,2,2,1,2
17,2,2,2,2,2,1,2
18,2,2,2,2,2,1,5
19,2,2,2,2,2,1,5
20,2,2,2,2,2,1,2
21,2,2,2,2,6,1,1
22,2,2,2,2,2,1,2
23,2,2,2,4,4,1,4
24,2,2,2,2,2,1,2
25,1,1,1,1,1,2,3
26,2,2,2,2,3,1,6
27,1,1,1,1,1,2,3
28,1,1,1,1,3,2,7
29,1,1,1,1,3,2,7
30,1,3,3,3,3,2,6
31,1,1,1,1,5,2,7
32,1,1,1,1,1,2,7
33,1,1,1,1,1,2,3
34,1,1,1,1,1,2,3
35,2,3,4,5,5,0,2
36,1,1,1,1,1,2,8
37,1,1,1,1,1,2,8
38,1,1,1,1,1,2,3
39,1,1,1,1,1,2,3
40,1,1,1,1,5,2,7
41,1,1,1,5,5,2,7
42,1,1,1,1,5,2,7
43,1,1,1,1,1,2,7
44,1,1,1,1,1,2,3
45,1,1,1,1,1,2,3
46,1,1,1,1,1,2,3
47,1,1,1,1,1,2,3
48,1,1,1,1,1,2,3
49,1,1,1,1,1,2,3
50,1,3,3,3,3,2,6
51,1,3,3,3,3,2,6
52,1,3,3,3,3,0,6
53,1,1,1,1,1,2,3
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.06830537194542785,0.06261715149928172,0.07410594599693347,0.06670946545035512,0.06358234380496137,0.08304437806297216,0.0445686481577739
NMI,0.62524801560676746,0.50490554695447898,0.7363677406836745,0.61012594931469888,0.5466674601060989,1.0,0.56070273632764611
