,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,0,3,3,3,3,7,7,7,7,7,7,7
1,2,2,2,5,5,5,5,5,5,5,5,5
2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2,2
4,0,3,3,4,3,7,7,7,7,7,7,7
5,0,0,1,5,5,5,5,5,5,5,5,5
6,1,3,3,5,5,5,5,5,5,5,5,5
7,0,0,4,4,5,5,8,8,4,4,4,4
8,0,0,4,4,5,5,8,8,4,4,4,4
9,2,2,2,2,2,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2,2,2,2,2
11,0,0,1,0,0,1,8,8,10,10,10,10
12,0,0,1,5,5,5,5,5,5,5,5,5
13,0,0,0,0,6,6,6,6,6,9,12,13
14,1,3,3,3,3,3,3,3,3,3,3,3
15,1,3,3,3,3,3,3,3,3,3,3,3
16,0,0,1,5,6,6,6,6,6,6,6,6
17,1,3,3,3,3,3,3,3,3,3,3,3
18,1,3,3,3,3,3,3,3,3,3,3,3
19,1,0,0,0,6,7,7,9,9,9,9,9
20,1,3,3,3,3,3,3,3,3,3,3,3
21,1,3,3,3,3,3,3,3,3,3,3,3
22,1,3,3,3,3,3,3,3,3,5,5,3
23,2,2,2,2,2,2,2,2,2,2,2,2
24,0,0,0,0,0,0,0,0,0,0,0,13
25,0,0,0,5,6,6,8,9,9,11,11,11
26,1,3,3,3,3,3,3,3,3,3,3,3
27,0,0,0,0,6,7,7,9,9,9,9,9
28,1,1,1,1,4,4,4,4,8,8,12,12
29,1,1,4,4,4,4,4,4,8,8,12,12
30,2,2,2,2,2,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,2,2,2,2
34,0,0,0,0,0,0,0,0,0,0,12,12
35,0,3,3,3,3,7,7,7,7,7,7,7
36,1,1,4,4,4,4,8,8,4,4,4,4
37,0,0,4,4,4,4,4,4,8,8,8,8
38,1,1,1,4,4,4,0,0,6,9,12,12
39,2,1,1,5,6,6,6,6,6,6,6,6
40,1,1,1,1,1,1,1,1,1,1,1,1
41,0,0,0,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,4,4,4,4,4,4,8,8,8,12
45,2,1,1,4,6,6,6,6,6,6,6,6
46,2,1,1,1,6,6,6,6,6,6,6,6
47,1,0,4,4,4,4,4,4,8,8,8,8
48,1,1,4,4,4,4,4,4,8,8,8,12
49,1,1,4,4,4,4,4,4,8,8,8,12
50,2,1,1,5,6,6,1,5,5,11,11,11
51,1,1,4,4,6,6,8,8,8,11,11,11
52,0,0,4,4,0,0,8,8,10,10,10,10
53,1,1,4,4,4,4,4,4,8,8,8,12
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
