,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,3,4,4,6,7,0,0
1,2,3,4,4,4,7,0,0
2,2,3,4,4,4,7,0,0
3,0,3,3,3,3,3,1,1
4,2,3,4,3,6,7,0,0
5,0,3,4,4,4,4,0,2
6,1,3,4,4,6,7,0,0
7,1,3,4,4,4,7,0,0
8,0,0,4,4,4,4,0,2
9,0,3,3,3,3,3,1,1
10,1,3,4,4,4,4,0,3
11,1,3,4,4,4,4,0,3
12,1,3,4,4,4,4,0,3
13,1,1,3,3,3,3,0,2
14,2,2,2,2,2,2,0,4
15,2,2,2,2,2,2,0,4
16,2,2,2,2,2,2,0,2
17,2,2,2,2,2,2,0,4
18,2,2,2,2,2,2,0,4
19,2,2,2,2,2,2,0,4
20,2,2,2,2,2,2,0,2
21,2,2,2,2,2,2,0,2
22,1,1,1,1,1,1,2,5
23,0,2,3,3,3,3,1,1
24,0,2,3,3,3,3,1,1
25,1,1,1,1,1,1,2,5
26,1,1,3,2,2,2,0,2
27,1,1,1,1,1,1,2,5
28,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,2,5
30,2,2,3,5,5,5,1,7
31,2,2,3,5,5,5,1,7
32,2,2,3,5,5,5,1,7
33,1,2,1,5,5,5,1,7
34,2,2,3,5,5,5,1,7
35,2,3,4,4,6,7,0,5
36,1,1,1,1,1,1,2,2
37,1,1,1,1,6,6,2,8
38,1,1,1,1,6,6,2,8
39,1,1,1,1,1,1,2,6
40,1,1,1,1,1,1,2,8
41,0,0,0,0,0,7,2,8
42,1,1,1,1,1,1,2,5
43,1,1,1,1,1,1,2,5
44,1,1,1,1,1,1,2,6
45,1,1,1,1,1,1,2,6
46,1,1,1,1,1,1,2,6
47,1,1,1,1,1,1,2,6
48,1,1,1,1,1,1,2,6
49,1,1,1,1,1,1,2,6
50,1,2,3,5,5,5,1,5
51,1,1,1,1,1,1,2,5
52,1,1,1,1,1,1,2,5
53,1,1,1,1,1,1,2,5
54,1,1,1,1,1,1,2,5
55,99,99,99,99,99,99,99,99
Modularity,0.10025207982465484,0.17435970413961246,0.22955378661129863,0.22107555182175492,0.20143898808105723,0.2075985980827817,0.23739362047254692,0.13777435704316263
NMI,0.32661726085590975,0.52956448395045885,0.72918123934839418,0.76714433585835262,0.69235820915158675,0.69845019078622328,1.0,0.58202756904298381
