,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,2,2,2,2,2,2,2,2
1,2,2,4,4,4,7,7,7,7,7
2,2,2,2,2,2,2,2,2,2,2
3,2,3,3,4,6,6,6,6,6,6
4,2,2,2,2,2,2,2,2,2,2
5,2,2,4,4,2,2,0,0,0,0
6,1,0,4,4,4,7,7,7,7,7
7,0,0,4,4,4,4,8,9,8,8
8,0,0,4,4,4,4,8,9,8,8
9,2,3,3,5,6,6,6,6,6,6
10,0,3,3,3,4,7,7,7,7,7
11,2,2,2,2,2,2,2,8,9,9
12,0,0,4,1,4,7,7,7,7,7
13,2,2,3,4,6,6,6,6,6,6
14,2,2,4,4,6,4,4,4,4,4
15,2,2,4,4,1,4,4,4,4,4
16,0,3,4,5,5,5,5,5,5,5
17,2,2,4,4,5,4,4,4,4,4
18,2,2,4,4,4,4,4,4,4,4
19,0,0,0,0,0,0,0,0,10,11
20,2,2,4,4,4,4,4,4,4,10
21,1,1,3,1,2,7,7,7,7,7
22,99,99,99,99,99,99,99,99,99,99
23,2,3,3,5,6,6,6,6,6,6
24,0,3,3,3,6,6,6,6,10,6
25,1,3,3,3,6,6,6,6,10,6
26,2,2,4,4,1,4,4,4,4,4
27,99,99,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,1,3,3,3,3,3,3,3,3,3
31,1,3,3,3,3,3,3,3,3,3
32,1,3,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3,3
34,1,1,1,1,3,6,3,8,9,10
35,2,2,2,2,2,2,2,2,2,2
36,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99
38,1,1,1,5,5,5,5,5,5,5
39,1,1,1,5,1,5,5,5,5,5
40,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,5,1,1,1,1
45,99,99,99,99,99,99,99,99,99,99
46,0,0,2,5,5,5,5,5,5,5
47,99,99,99,99,99,99,99,99,99,99
48,1,1,1,5,5,5,5,5,5,5
49,1,3,3,3,3,3,3,3,3,3
50,1,1,1,1,1,1,1,1,1,10
51,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0,5,0,8,8,9,9
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
