,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,0,1,1,1,6,6,7
1,0,1,4,5,5,4,4
2,99,99,99,99,99,99,99
3,1,2,2,2,2,6,8
4,1,3,3,3,3,3,3
5,1,3,4,5,5,4,4
6,0,0,4,5,6,4,4
7,2,2,2,2,1,2,2
8,2,2,2,2,1,2,2
9,99,99,99,99,99,99,99
10,2,2,2,2,1,2,2
11,2,1,1,1,1,1,1
12,2,1,1,1,1,2,2
13,2,2,2,2,2,2,8
14,2,2,2,2,2,2,2
15,2,2,2,2,1,2,2
16,2,1,1,1,1,2,2
17,2,2,2,1,1,2,2
18,2,2,1,1,1,2,2
19,2,2,2,1,1,2,2
20,2,2,2,2,1,2,2
21,2,0,4,5,5,4,4
22,2,2,2,2,1,2,6
23,1,2,2,2,2,2,8
24,2,2,2,2,2,2,6
25,2,1,1,1,1,1,1
26,1,3,3,3,3,3,3
27,1,3,3,3,3,3,3
28,1,1,1,1,1,3,3
29,1,3,3,3,3,3,3
30,1,3,3,1,3,3,3
31,2,1,1,1,1,1,1
32,2,1,1,1,1,1,1
33,1,3,3,3,3,3,3
34,1,3,3,3,3,3,3
35,2,3,3,3,6,6,3
36,1,1,1,5,5,5,5
37,1,3,3,3,3,3,3
38,0,0,0,5,5,5,5
39,1,1,1,5,5,5,5
40,2,2,4,4,4,7,7
41,2,2,4,4,4,7,7
42,2,2,4,4,4,7,7
43,1,3,3,3,3,3,3
44,1,3,3,3,3,3,3
45,2,1,1,1,1,1,1
46,1,3,3,3,3,3,3
47,1,3,3,3,3,3,3
48,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,3,3,3,3,3,6
51,1,3,3,3,3,3,3
52,1,3,3,3,3,3,0
53,1,3,3,3,3,3,3
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
