,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,1,0
1,0,3,3,3,3,3,3,1,0
2,0,3,3,3,3,3,3,1,0
3,1,2,4,5,5,5,5,1,1
4,1,3,3,3,3,3,3,1,0
5,1,1,1,1,1,1,1,0,1
6,2,3,3,3,3,7,3,1,2
7,1,1,1,1,5,5,5,1,1
8,1,1,2,2,6,6,6,6,3
9,1,1,1,1,5,5,5,1,1
10,1,1,1,1,5,5,5,1,1
11,0,0,0,0,0,0,0,1,2
12,1,1,1,1,1,1,1,0,1
13,1,1,1,1,1,1,1,0,4
14,1,1,1,1,1,1,1,0,4
15,1,1,1,1,1,1,1,0,4
16,2,1,2,1,1,7,7,0,2
17,1,1,1,1,1,1,1,0,4
18,1,1,1,1,1,1,1,0,4
19,1,1,1,1,1,1,1,0,4
20,1,1,1,1,1,1,1,0,4
21,1,1,1,1,1,1,1,0,4
22,1,1,1,1,1,1,1,0,4
23,0,0,0,5,5,5,5,1,2
24,2,2,2,5,5,5,8,6,3
25,99,99,99,99,99,99,99,99,99
26,1,1,1,1,1,7,8,0,4
27,1,1,1,1,1,1,1,0,4
28,1,2,1,4,4,4,1,3,1
29,2,2,2,2,2,2,2,6,5
30,2,2,4,4,4,4,4,3,6
31,2,2,4,4,4,4,4,3,6
32,2,2,4,4,4,4,4,3,6
33,2,2,4,4,4,4,4,3,6
34,2,2,2,2,2,2,2,6,3
35,1,3,3,3,3,3,3,1,1
36,2,2,2,2,6,6,6,6,3
37,99,99,99,99,99,99,99,99,99
38,0,3,3,5,5,7,7,0,2
39,1,0,0,0,0,0,0,6,2
40,2,2,2,2,2,2,2,6,3
41,2,1,2,2,2,2,2,6,3
42,99,99,99,99,99,99,99,99,99
43,2,2,2,5,2,2,8,6,3
44,2,2,2,2,2,2,2,6,3
45,99,99,99,99,99,99,99,99,99
46,2,2,2,2,2,2,1,6,5
47,99,99,99,99,99,99,99,99,99
48,2,2,2,2,6,6,6,6,3
49,2,2,2,2,2,2,2,6,3
50,2,2,2,2,2,2,2,6,5
51,2,2,2,5,2,2,2,6,3
52,1,1,1,1,1,1,1,1,1
53,2,2,2,2,2,2,2,6,5
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.10648057253882243,0.1300758041195005,0.13158161733756432,0.13388897569078154,0.12822914225133855,0.11988701755705612,0.11399738735636733,0.14759435607311966,0.09662458696214905
NMI,0.36807602640865295,0.47437390687582826,0.60137645430980435,0.66861911658758599,0.71936722965001032,0.70072587407479248,0.63719496832107758,1.0,0.66239267642872224
