,Cluster 2,Cluster 3,Cluster 4,Louvain,
0,2,2,2,0,
1,1,2,2,0,
2,1,1,1,0,
3,2,3,3,2,
4,1,1,1,0,
5,1,1,1,0,
6,1,1,1,0,
7,1,1,1,0,
8,1,1,1,0,
9,1,1,1,0,
10,1,1,1,0,
11,1,1,1,0,
12,1,1,1,0,
13,1,1,1,0,
14,1,1,1,0,
15,1,1,1,0,
16,1,1,1,0,
17,1,1,1,0,
18,1,1,1,0,
19,1,1,1,0,
20,1,1,1,0,
21,1,1,1,0,
22,1,1,1,0,
23,1,1,1,0,
24,1,3,3,2,
25,2,1,1,0,
26,0,0,4,2,
27,2,2,2,1,
28,2,2,2,1,
29,2,2,2,1,
30,2,2,2,1,
31,2,2,2,1,
32,2,2,2,1,
33,2,2,2,1,
34,2,2,2,1,
35,2,2,2,0,
36,2,2,2,1,
37,1,3,3,2,
38,2,2,2,1,
39,2,2,2,1,
40,2,2,2,1,
41,2,2,2,1,
42,2,2,2,1,
43,1,0,4,2,
44,2,2,2,1,
45,2,2,2,1,
46,2,2,2,1,
47,2,2,2,1,
48,2,2,2,1,
49,1,3,3,2,
50,0,0,4,1,
51,1,3,3,2,
52,1,1,1,0,
53,1,1,4,2,
54,99,99,99,99,
55,99,99,99,99,
Modularity,0.23076493590048114,0.2615263173811397,0.2663611992768275,0.30086853601272245,
NMI,0.512730534250884,0.69101022404505552,0.74628820907172511,1.0,
Silhoutte,0.29654137,0.43043057,0.45498766,0.48057138,
