,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,1,3,3,5,5,5,5,5,5,5,6,0
1,0,0,4,5,5,5,5,5,10,10,6,1
2,0,3,3,5,5,5,5,5,5,5,6,0
3,2,3,3,3,3,3,3,3,3,3,0,2
4,1,3,3,5,5,5,5,5,5,5,6,0
5,2,2,2,2,2,2,2,2,2,2,0,3
6,1,1,1,1,1,7,7,7,10,10,6,1
7,2,2,2,3,6,6,6,6,10,10,4,1
8,0,3,3,3,6,6,6,6,6,6,4,4
9,0,3,3,3,3,3,3,3,3,3,0,2
10,1,1,4,4,4,7,7,7,7,7,0,1
11,2,2,2,2,2,2,2,2,7,7,0,1
12,2,2,2,2,2,7,7,7,7,7,0,1
13,2,3,4,4,4,4,4,4,3,3,0,2
14,0,3,3,3,3,3,3,3,3,3,0,2
15,2,2,2,2,2,2,2,2,2,2,0,3
16,2,2,2,2,2,2,2,2,2,2,0,3
17,2,2,2,2,2,2,2,2,2,2,0,3
18,2,2,2,2,2,2,2,2,2,2,0,3
19,2,2,2,2,2,2,2,2,2,2,0,3
20,2,2,2,2,2,2,2,2,2,2,0,3
21,0,3,2,3,6,6,6,6,6,6,4,4
22,99,99,99,99,99,99,99,99,99,99,99,99
23,1,3,3,3,3,3,3,3,3,3,3,5
24,99,99,99,99,99,99,99,99,99,99,99,99
25,1,3,4,4,4,1,1,4,4,11,6,6
26,2,3,3,2,2,2,2,3,3,3,0,2
27,2,2,2,2,2,2,2,2,2,2,0,3
28,1,1,1,1,1,1,1,1,1,1,3,5
29,1,1,1,1,1,1,1,1,1,1,3,5
30,0,0,4,4,4,4,4,4,4,4,6,1
31,0,0,4,4,4,4,4,4,4,4,6,1
32,0,0,4,4,4,4,4,4,4,11,6,1
33,2,2,4,4,4,4,4,4,4,4,6,6
34,2,2,4,4,4,4,4,4,4,11,6,6
35,0,3,3,5,5,5,5,5,5,5,6,0
36,1,3,4,3,6,6,6,6,6,6,4,4
37,2,2,4,2,5,5,5,9,9,9,3,7
38,1,1,1,1,1,1,1,9,9,9,3,7
39,1,1,1,1,1,1,1,1,1,1,3,5
40,1,1,1,1,1,1,1,1,1,1,3,5
41,0,0,0,0,0,0,8,8,8,8,3,7
42,99,99,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,1,1,3,5
44,1,1,1,1,1,1,1,1,1,1,3,5
45,1,1,1,1,1,1,1,1,1,1,3,5
46,1,1,1,1,1,1,1,1,1,1,3,5
47,2,3,4,3,3,3,6,9,9,9,4,7
48,1,1,1,1,1,1,1,1,1,1,3,5
49,1,1,4,4,4,4,4,4,4,11,6,6
50,0,0,0,0,0,0,8,8,8,8,3,7
51,1,1,1,1,1,1,1,1,1,1,3,5
52,1,1,1,1,1,1,1,1,1,1,3,5
53,1,1,1,1,1,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.06441658706355663,0.0762509628547188,0.10818426842572039,0.11991279016251309,0.12581574895391137,0.1227763336065278,0.12622586575849748,0.1249958797446192,0.1231548551017695,0.1179486477222354,0.15601292759087496,0.11603123188765499
NMI,0.27897308952752092,0.32191697882886111,0.44589415164658874,0.61698272363453333,0.64978952134831836,0.62868712152768358,0.65967087200063068,0.68588329876899601,0.70327878591123549,0.68842332411663121,1.0,0.68116801838305108
