,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,0,0,6,6,6,6,6,6
1,1,3,4,3,3,7,7,7,7,7
2,1,3,3,3,3,3,3,3,3,3
3,1,3,3,1,3,4,4,1,10,1
4,0,0,0,0,6,6,6,6,6,6
5,1,1,4,4,4,4,4,4,4,4
6,1,2,4,4,4,7,7,7,7,7
7,1,1,1,1,1,1,7,1,7,7
8,1,0,4,5,5,2,2,2,2,10
9,1,1,1,1,1,1,1,1,10,1
10,1,1,1,1,1,1,1,1,10,1
11,0,0,0,2,2,2,2,2,2,11
12,1,1,4,4,4,4,4,4,4,4
13,1,1,1,4,4,4,4,1,10,1
14,0,0,0,0,0,0,8,8,8,8
15,1,3,4,4,4,4,4,4,4,4
16,2,2,2,4,4,4,4,4,4,4
17,1,3,4,4,4,4,4,4,4,4
18,1,3,4,4,4,4,4,4,4,4
19,1,3,4,4,4,4,4,4,4,4
20,1,3,3,3,3,3,3,3,3,3
21,1,3,4,4,4,7,7,7,7,7
22,1,3,3,4,4,4,4,4,4,4
23,1,1,1,1,1,1,1,1,10,1
24,2,1,1,1,1,1,1,1,1,2
25,0,0,0,0,0,0,8,8,8,8
26,1,0,0,4,4,4,8,9,9,9
27,2,2,2,2,2,2,2,2,5,11
28,1,3,3,3,3,3,3,3,3,3
29,2,2,2,2,2,2,2,2,1,11
30,1,3,3,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3,3,3
32,1,3,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3,3
34,2,2,2,2,2,2,1,2,1,2
35,2,2,2,2,6,6,6,6,6,6
36,2,2,2,2,5,2,2,2,2,10
37,0,0,0,0,0,0,0,0,8,8
38,1,1,1,2,2,2,2,8,8,8
39,2,2,2,2,2,2,2,2,2,10
40,2,2,2,5,5,5,5,5,5,5
41,1,2,4,5,5,5,5,5,5,5
42,1,2,4,5,5,5,5,5,5,5
43,2,2,2,5,5,5,5,5,1,2
44,2,2,2,2,2,2,2,2,10,1
45,2,2,2,5,0,7,7,9,9,9
46,2,2,2,2,2,2,2,2,1,2
47,2,2,2,2,2,2,2,2,2,10
48,2,2,2,2,2,2,2,2,2,11
49,2,2,2,2,2,2,2,2,10,3
50,2,2,1,1,1,1,1,9,1,2
51,2,1,1,1,1,1,1,1,1,2
52,2,1,1,1,1,1,1,1,1,2
53,2,2,2,1,1,1,1,1,1,2
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
