,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,2,2,2,6,6,6,6,6,1,
1,0,0,0,0,0,7,7,7,7,0,
2,2,3,3,3,3,3,3,3,3,0,
3,2,2,4,4,4,4,4,4,4,1,
4,0,2,0,0,6,6,6,6,6,1,
5,2,3,3,3,3,3,3,3,3,0,
6,1,0,2,2,2,7,7,7,7,0,
7,2,0,0,5,5,5,5,5,5,0,
8,2,3,3,3,3,3,3,3,3,0,
9,2,2,4,4,4,4,4,4,4,1,
10,0,2,2,0,6,6,6,6,6,1,
11,2,3,3,3,3,3,3,3,3,0,
12,1,1,1,1,1,1,3,3,3,3,
13,2,1,1,1,1,1,1,1,1,3,
14,2,3,3,3,3,3,3,3,3,0,
15,1,1,1,1,1,1,1,4,4,1,
16,2,3,3,3,3,3,3,3,3,0,
17,2,3,3,3,3,3,3,3,3,0,
18,2,3,3,3,3,3,3,3,3,0,
19,2,2,4,4,4,4,4,4,4,1,
20,2,2,1,1,1,2,1,1,10,1,
21,2,3,3,3,3,7,7,7,7,0,
22,2,2,4,4,4,4,4,4,10,1,
23,1,1,1,1,1,1,1,1,1,3,
24,1,1,1,1,1,1,1,1,1,3,
25,2,3,3,3,3,3,3,3,3,0,
26,1,1,1,5,5,5,5,9,9,2,
27,1,1,2,2,2,2,2,2,2,2,
28,2,3,4,4,4,4,4,4,4,1,
29,1,1,2,2,2,2,2,2,2,2,
30,2,2,4,4,4,4,4,4,10,1,
31,2,2,4,4,4,4,4,4,10,1,
32,2,2,4,4,4,4,4,4,10,1,
33,2,2,4,4,4,4,4,4,4,1,
34,1,1,2,5,5,5,5,5,5,2,
35,1,3,3,3,3,3,3,3,3,2,
36,0,0,0,5,5,5,5,5,5,2,
37,0,2,2,2,2,2,2,2,2,2,
38,0,2,2,2,2,2,8,2,5,2,
39,2,2,2,2,2,2,2,2,2,2,
40,2,2,2,2,2,1,8,8,8,2,
41,1,2,2,2,2,2,8,8,8,2,
42,2,2,2,2,2,2,8,8,8,2,
43,1,1,1,2,2,2,2,9,9,2,
44,1,1,2,2,2,2,2,2,2,2,
45,1,1,3,5,5,5,5,9,9,2,
46,1,1,1,1,1,1,1,1,1,3,
47,2,3,3,3,3,3,3,3,3,0,
48,1,1,2,2,2,2,2,2,2,2,
49,1,1,2,2,2,2,2,2,2,2,
50,1,1,2,2,1,2,2,2,2,2,
51,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,1,3,
53,1,1,2,2,2,2,2,2,2,2,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.09215181589644528,0.11408958042024109,0.10783063271622961,0.11309740661697666,0.11730335557560781,0.11346476792559887,0.1144300695923166,0.11758106933898452,0.1044950143010695,0.14266774787651454,
NMI,0.26695505777888817,0.50303743917334309,0.55123980522339078,0.64391742209769154,0.65953789412450914,0.67129549648639208,0.66600842379718728,0.68039289822700855,0.68405209521704424,1.0,
Silhoutte,0.09557975,0.11827341,0.10100378,0.12255094,0.15343713,0.1880225,0.21655458,0.23131277,0.23419981,0.10379297,
