,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,2,2,2,5,6,6,6,6,6,1,
1,0,0,0,0,0,0,8,8,8,1,
2,2,3,3,3,6,6,6,6,6,1,
3,0,3,3,3,3,3,3,3,3,0,
4,2,2,2,5,6,6,6,6,6,1,
5,0,0,4,4,4,4,4,4,4,3,
6,0,0,0,0,0,0,8,8,8,1,
7,0,0,4,4,4,7,7,7,7,3,
8,0,3,4,4,4,7,7,7,7,3,
9,0,3,3,3,3,3,3,3,3,0,
10,0,3,4,3,4,4,4,4,4,3,
11,1,1,4,4,4,4,4,4,4,3,
12,0,0,4,4,4,4,4,4,4,3,
13,1,3,3,3,3,3,3,3,4,0,
14,2,2,2,2,2,2,2,2,2,0,
15,2,2,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,0,0,3,3,0,
20,2,2,2,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,2,2,2,0,
22,99,99,99,99,99,99,99,99,99,99,
23,1,3,3,3,3,3,3,3,3,7,
24,1,1,1,1,1,1,1,1,1,7,
25,1,1,1,1,1,1,1,1,1,7,
26,2,2,2,2,2,2,2,2,2,0,
27,2,2,2,2,2,2,2,2,2,0,
28,1,1,1,1,5,5,5,5,5,7,
29,1,1,1,1,5,5,5,5,5,7,
30,1,3,3,3,3,3,3,5,9,7,
31,0,3,0,0,0,0,0,0,0,0,
32,2,3,3,3,3,3,3,9,9,7,
33,1,1,1,1,1,1,1,1,1,7,
34,1,1,1,1,1,1,1,1,9,7,
35,2,2,2,5,6,6,6,6,6,1,
36,0,3,4,4,4,7,7,7,7,3,
37,0,0,0,3,4,7,7,9,10,1,
38,1,1,1,1,1,1,1,1,1,7,
39,1,1,1,1,1,1,1,1,1,7,
40,1,1,1,5,5,5,5,5,5,7,
41,1,1,1,1,1,1,1,1,1,7,
42,99,99,99,99,99,99,99,99,99,99,
43,1,1,1,5,5,5,5,5,5,7,
44,99,99,99,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,99,99,99,
46,1,1,1,1,1,1,1,1,1,7,
47,0,0,0,0,0,7,8,9,10,1,
48,1,1,1,1,1,1,1,1,1,7,
49,1,1,1,5,5,5,5,5,5,7,
50,1,1,1,1,1,1,1,1,1,7,
51,1,1,1,1,1,1,1,1,1,7,
52,1,1,1,1,1,1,1,1,1,7,
53,1,1,1,1,1,1,1,1,1,7,
54,1,3,3,5,5,5,5,5,5,7,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.1702262846120507,0.16903306833667708,0.1824852761744151,0.17127145978463515,0.17574217500115072,0.17064991798529264,0.16715046925213753,0.16937061362089884,0.16404581199521104,0.1948692314193507,
NMI,0.52543517237083681,0.51339305767817667,0.67746846100918601,0.616064556835482,0.70984265573659366,0.6766682123739195,0.71273830233474134,0.72966955176435455,0.70913616814543567,1.0,
Silhoutte,0.15423057,0.14154771,0.17453951,0.17873278,0.21211255,0.22700194,0.2289602,0.26458238,0.28464123,0.18389653,
