,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,1,1,6,6,6,6,6,6
1,2,2,2,2,2,2,2,2,2,2
2,2,2,4,5,6,6,6,6,6,6
3,2,3,4,4,2,7,7,7,10,7
4,0,2,1,1,6,6,6,6,6,6
5,2,2,2,2,6,6,6,6,6,6
6,2,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2
8,0,0,3,5,5,6,3,8,9,11
9,0,0,0,4,0,0,7,7,10,7
10,2,3,2,2,2,2,7,7,10,7
11,2,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2
13,0,3,2,2,2,7,7,9,7,9
14,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
21,2,2,2,2,1,1,2,2,2,2
22,1,1,1,1,1,1,1,1,1,1
23,2,3,2,2,2,7,7,7,10,7
24,0,0,0,0,0,7,7,7,10,10
25,1,1,1,1,1,1,1,1,1,0
26,0,0,0,3,5,7,8,9,7,9
27,1,3,3,3,3,3,8,3,3,3
28,1,3,4,4,4,4,4,4,4,4
29,1,2,3,3,3,3,8,3,3,3
30,2,3,4,4,4,4,4,4,4,4
31,1,3,4,4,4,4,4,4,4,4
32,0,3,4,4,4,4,4,4,4,4
33,2,3,4,4,4,4,4,4,4,4
34,0,2,0,0,0,0,8,3,8,8
35,0,1,1,1,6,6,6,6,6,6
36,0,0,3,5,5,7,3,8,9,11
37,0,2,3,0,3,3,3,3,3,3
38,1,2,3,3,3,3,8,3,8,8
39,2,2,3,5,0,3,3,0,9,11
40,2,2,3,3,5,5,5,5,5,5
41,2,0,2,5,5,5,5,5,5,5
42,2,2,2,5,5,5,5,5,5,5
43,2,2,2,3,5,5,5,5,5,5
44,2,2,3,3,3,3,8,3,3,3
45,0,2,3,5,5,3,3,8,9,11
46,1,2,3,3,3,3,8,3,8,3
47,2,2,3,5,3,3,3,8,9,11
48,1,2,3,3,3,3,8,3,3,3
49,1,2,3,3,3,3,8,3,8,8
50,1,2,3,3,3,3,8,3,8,8
51,1,2,3,3,3,7,8,9,7,9
52,0,0,2,3,6,6,8,9,8,2
53,2,2,3,3,3,3,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
