,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,1,4,4,4,0,0
1,0,3,3,4,6,2,1
2,2,2,4,4,4,0,0
3,2,2,2,2,2,1,2
4,1,1,4,4,4,0,0
5,2,2,2,2,2,0,3
6,2,2,2,2,6,1,1
7,2,2,2,2,2,1,3
8,1,1,1,1,1,2,6
9,2,2,4,4,4,1,2
10,2,2,2,2,2,1,3
11,1,1,1,1,1,2,4
12,2,2,2,2,2,1,3
13,2,2,2,2,2,1,3
14,2,2,2,2,2,1,2
15,2,2,2,2,2,1,3
16,2,2,2,2,2,1,3
17,2,2,2,2,2,1,3
18,2,2,2,2,2,1,3
19,2,2,2,2,2,1,3
20,2,2,2,2,2,1,3
21,2,2,2,2,6,1,1
22,2,2,2,2,2,1,3
23,2,2,2,2,2,1,2
24,2,2,2,2,2,1,3
25,1,1,1,1,1,2,4
26,2,3,3,3,3,2,5
27,1,1,1,1,1,2,4
28,1,3,3,3,3,2,6
29,1,3,3,3,3,2,6
30,1,3,3,3,3,2,5
31,1,3,3,3,5,2,6
32,1,1,1,1,1,2,6
33,1,1,1,1,1,2,4
34,1,1,1,1,1,2,6
35,0,3,4,5,5,0,5
36,1,1,1,1,1,2,7
37,1,1,1,1,1,2,7
38,1,1,1,1,1,2,4
39,1,1,1,1,1,2,4
40,1,1,1,1,1,2,6
41,1,1,1,1,1,2,6
42,1,1,1,1,1,2,6
43,1,1,1,1,1,2,6
44,1,1,1,1,1,2,4
45,1,1,1,1,1,2,4
46,1,1,1,1,1,2,4
47,1,1,1,1,1,2,4
48,1,1,1,1,1,2,4
49,1,1,1,1,1,2,4
50,1,3,3,3,3,2,5
51,1,3,3,3,3,2,5
52,1,3,3,3,3,2,5
53,1,1,1,1,1,2,4
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.06616937395489919,0.06530320450241522,0.07235603993100412,0.07258496519789621,0.06810374446334469,0.07825380354182004,0.05344318318340423
NMI,0.6399733958785474,0.61520514157779727,0.73985937275651881,0.68497816501213671,0.63636932334149321,1.0,0.57863277370775457
