,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,2,2,1,1,6,6,6,6,6,6,0,
1,2,2,2,2,2,2,2,2,2,2,1,
2,2,2,4,5,6,6,6,6,6,6,0,
3,2,3,4,4,2,7,7,7,10,7,1,
4,0,2,1,1,6,6,6,6,6,6,0,
5,2,2,2,2,6,6,6,6,6,6,0,
6,2,2,2,2,2,2,2,2,2,2,1,
7,2,2,2,2,2,2,2,2,2,2,1,
8,0,0,3,5,5,6,3,8,9,11,3,
9,0,0,0,4,0,0,7,7,10,7,1,
10,2,3,2,2,2,2,7,7,10,7,1,
11,2,2,2,2,2,2,2,2,2,2,1,
12,2,2,2,2,2,2,2,2,2,2,1,
13,0,3,2,2,2,7,7,9,7,9,1,
14,1,1,1,1,1,1,1,1,1,1,2,
15,1,1,1,1,1,1,1,1,1,1,2,
16,1,1,1,1,1,1,1,1,1,1,2,
17,1,1,1,1,1,1,1,1,1,1,2,
18,1,1,1,1,1,1,1,1,1,1,2,
19,1,1,1,1,1,1,1,1,1,1,2,
20,1,1,1,1,1,1,1,1,1,1,2,
21,2,2,2,2,1,1,2,2,2,2,2,
22,1,1,1,1,1,1,1,1,1,1,2,
23,2,3,2,2,2,7,7,7,10,7,1,
24,0,0,0,0,0,7,7,7,10,10,1,
25,1,1,1,1,1,1,1,1,1,0,2,
26,0,0,0,3,5,7,8,9,7,9,3,
27,1,3,3,3,3,3,8,3,3,3,3,
28,1,3,4,4,4,4,4,4,4,4,3,
29,1,2,3,3,3,3,8,3,3,3,3,
30,2,3,4,4,4,4,4,4,4,4,4,
31,1,3,4,4,4,4,4,4,4,4,4,
32,0,3,4,4,4,4,4,4,4,4,4,
33,2,3,4,4,4,4,4,4,4,4,4,
34,0,2,0,0,0,0,8,3,8,8,3,
35,0,1,1,1,6,6,6,6,6,6,0,
36,0,0,3,5,5,7,3,8,9,11,3,
37,0,2,3,0,3,3,3,3,3,3,3,
38,1,2,3,3,3,3,8,3,8,8,3,
39,2,2,3,5,0,3,3,0,9,11,3,
40,2,2,3,3,5,5,5,5,5,5,3,
41,2,0,2,5,5,5,5,5,5,5,3,
42,2,2,2,5,5,5,5,5,5,5,3,
43,2,2,2,3,5,5,5,5,5,5,3,
44,2,2,3,3,3,3,8,3,3,3,3,
45,0,2,3,5,5,3,3,8,9,11,3,
46,1,2,3,3,3,3,8,3,8,3,3,
47,2,2,3,5,3,3,3,8,9,11,3,
48,1,2,3,3,3,3,8,3,3,3,3,
49,1,2,3,3,3,3,8,3,8,8,3,
50,1,2,3,3,3,3,8,3,8,8,3,
51,1,2,3,3,3,7,8,9,7,9,3,
52,0,0,2,3,6,6,8,9,8,2,0,
53,2,2,3,3,3,3,3,3,3,3,3,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.056525694506736085,0.12675317366251768,0.19376206882074862,0.17855496116182087,0.20437077003541773,0.2017445426673023,0.2022204068080153,0.19535555189219742,0.18672931322069736,0.1811649354623375,0.24633365241631064,
NMI,0.22552965470225045,0.41506960958258704,0.5585516689946638,0.58256022961696641,0.8136550518017055,0.72810285772858907,0.74950521917711888,0.71385678670329211,0.69558011934056851,0.67982296277478671,1.0,
Silhoutte,-0.02510164,0.04660194,0.10486604,0.10743058,0.19663675,0.21879101,0.24970885,0.23948712,0.2419331,0.23536764,0.18456861,
