,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,2,2,2,2,2,2,2,2,2,1,0
1,2,2,4,4,4,7,7,7,7,1,1
2,2,2,2,2,2,2,2,2,2,1,0
3,2,3,3,5,5,5,5,5,5,0,2
4,2,2,2,2,2,2,2,2,2,1,0
5,2,2,4,4,2,2,7,2,0,1,0
6,1,0,4,4,4,7,7,7,7,1,1
7,0,0,4,4,4,4,8,8,8,1,1
8,0,0,4,4,4,4,8,8,8,1,1
9,2,3,3,5,5,5,5,5,5,0,2
10,0,3,3,5,4,7,7,7,7,1,1
11,2,2,2,2,2,2,2,9,9,1,0
12,0,0,4,4,4,7,7,7,7,1,1
13,2,2,3,5,5,5,5,5,5,0,2
14,2,2,4,4,5,4,4,4,4,0,2
15,2,2,4,4,1,4,4,4,4,0,3
16,0,3,4,3,6,6,6,6,6,7,4
17,2,2,4,4,6,4,4,4,4,0,3
18,2,2,4,4,4,4,4,4,4,0,3
19,0,0,0,0,0,0,0,0,10,0,4
20,2,2,4,4,4,4,4,4,9,0,4
21,1,1,3,1,1,7,7,7,7,1,1
22,99,99,99,99,99,99,99,99,99,99,99
23,2,3,3,5,5,5,5,5,5,0,2
24,0,3,3,5,5,5,5,5,5,0,2
25,1,3,3,5,5,6,6,3,10,7,5
26,2,2,4,4,1,4,4,4,4,0,3
27,99,99,99,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1,1,7,5
29,1,1,1,1,1,1,1,1,1,7,5
30,1,3,3,3,3,3,3,3,3,4,6
31,0,3,3,3,3,3,3,3,3,4,6
32,0,3,3,3,3,3,3,3,3,4,6
33,1,3,3,3,3,3,3,3,3,4,6
34,1,1,1,1,5,5,5,9,9,7,4
35,2,2,2,2,2,2,2,2,2,1,0
36,99,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,6,6,6,6,7,4
39,1,1,1,1,1,6,6,6,6,7,4
40,1,1,1,1,1,1,1,1,1,7,5
41,1,1,1,1,1,1,1,1,1,7,5
42,99,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,1,7,5
44,1,1,1,1,1,1,1,1,1,7,5
45,99,99,99,99,99,99,99,99,99,99,99
46,0,0,2,2,6,6,6,6,6,7,4
47,99,99,99,99,99,99,99,99,99,99,99
48,1,1,1,1,6,6,6,6,6,7,4
49,1,3,3,3,3,1,1,3,1,1,5
50,1,1,1,1,1,1,1,1,1,7,5
51,1,1,1,1,1,1,1,1,1,7,5
52,0,0,0,0,6,0,8,9,9,1,0
53,1,1,1,1,1,1,1,1,1,7,5
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.13813596964890906,0.16407611748743772,0.19369162220083047,0.1814013342000591,0.14878863823465077,0.18578449833803154,0.18698017415036913,0.18899972383159722,0.17742929833591603,0.23946398169808392,0.20047256629231508
NMI,0.37258138644663669,0.41505050783440078,0.43707383625481822,0.49289402066022409,0.49329865347928803,0.64591772827815019,0.70902920102590794,0.677684257485754,0.64541910291879145,1.0,0.71892439541480169
