,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,2,2,2,2,2,2,0,0
1,2,2,4,4,2,2,2,0,0
2,2,2,4,4,2,2,2,0,0
3,2,2,2,2,6,6,6,1,1
4,2,2,3,3,2,2,2,0,0
5,0,2,4,4,4,4,4,0,2
6,2,2,4,4,2,2,2,0,0
7,2,2,4,4,2,2,2,0,0
8,0,0,4,4,4,4,4,0,3
9,2,2,2,2,6,6,6,1,1
10,1,2,4,4,4,4,4,0,2
11,1,2,4,4,4,4,4,0,2
12,2,2,4,4,4,4,4,0,2
13,2,1,2,2,6,6,6,0,3
14,2,3,3,3,3,3,3,0,4
15,1,3,3,3,3,3,3,0,4
16,0,3,3,3,3,3,3,0,3
17,1,3,3,3,3,3,3,0,4
18,1,3,3,3,3,3,3,0,4
19,2,3,3,3,3,3,3,0,4
20,2,3,3,3,3,3,3,0,3
21,1,3,3,3,3,3,3,0,3
22,1,1,1,1,1,1,1,2,5
23,2,2,2,2,6,6,6,1,1
24,2,2,2,2,6,6,6,1,1
25,1,1,1,1,1,1,1,2,5
26,1,1,3,3,3,3,3,0,3
27,1,1,1,1,1,1,1,2,5
28,1,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,1,2,5
30,0,3,2,5,5,5,5,1,7
31,1,3,2,5,5,5,5,1,7
32,1,3,2,5,5,5,5,1,7
33,1,1,1,5,5,5,5,1,7
34,1,3,3,5,5,5,5,1,7
35,2,2,4,2,2,2,2,0,5
36,1,1,1,1,1,1,1,2,3
37,1,1,0,1,6,7,7,2,8
38,1,1,1,1,6,7,7,2,8
39,1,1,1,1,1,1,1,2,6
40,1,1,1,1,1,1,8,2,8
41,0,0,0,0,0,7,8,2,8
42,1,1,1,1,1,1,1,2,5
43,1,1,1,1,1,1,1,2,5
44,1,1,1,1,1,1,1,2,6
45,1,1,1,1,1,1,1,2,6
46,1,1,1,1,1,1,1,2,6
47,1,1,1,1,1,1,1,2,6
48,1,1,1,1,1,1,1,2,6
49,1,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,1,2,5
51,1,1,1,1,1,1,1,2,5
52,1,1,1,1,1,1,1,2,5
53,1,1,1,1,1,1,1,2,5
54,1,1,1,1,1,1,1,2,5
55,99,99,99,99,99,99,99,99,99
Modularity,0.10253303207876864,0.17993682615491574,0.18831744349619262,0.19826508680102234,0.2045580319171669,0.2062086627754473,0.2024017624677754,0.23178899274710424,0.1385027594788439
NMI,0.26871865132667455,0.45707875591455782,0.66666674473970278,0.75039380819325885,0.68469820883971466,0.73354007984344782,0.71671222316401262,1.0,0.61666137612354488
