,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,5,0,7,7,9,9,9,9
2,2,2,2,2,2,2,8,5,5,8,8
3,2,2,2,2,6,6,2,2,2,2,2
4,1,0,0,0,0,0,2,0,10,10,12
5,1,1,1,1,1,2,1,1,1,1,1
6,0,0,0,5,6,7,6,9,9,9,9
7,2,3,3,3,3,3,3,3,3,3,3
8,2,3,2,2,6,6,6,6,6,6,6
9,1,1,1,1,1,1,1,1,1,1,1
10,2,2,2,2,2,2,2,2,2,2,2
11,1,1,1,1,1,1,1,1,1,1,1
12,2,2,2,2,6,6,2,2,2,2,2
13,1,1,1,1,1,1,1,1,1,1,1
14,2,2,4,5,5,5,5,8,8,5,5
15,0,0,4,5,5,7,7,7,7,7,7
16,0,3,3,3,3,3,3,3,3,11,11
17,0,0,4,5,5,5,5,8,8,5,5
18,1,1,1,1,1,1,1,1,1,1,1
19,2,0,2,1,6,6,6,6,6,6,6
20,2,2,2,5,5,5,5,8,8,8,8
21,1,1,1,1,1,1,1,1,1,1,1
22,2,2,0,5,2,5,8,5,5,8,8
23,0,3,3,3,3,3,3,3,3,3,3
24,0,3,3,3,3,3,3,3,3,3,3
25,2,2,2,2,2,2,8,5,5,8,8
26,0,0,4,5,5,7,7,7,7,7,7
27,2,2,2,2,6,6,6,6,6,6,6
28,2,2,2,2,2,2,8,5,5,8,8
29,0,3,4,4,6,6,6,6,6,6,6
30,2,2,2,2,6,6,2,2,2,2,2
31,2,2,2,2,2,2,8,5,5,8,8
32,2,2,2,2,2,2,8,5,5,8,8
33,2,3,3,3,3,3,3,3,3,3,3
34,0,3,4,4,4,4,4,4,4,4,4
35,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,0,10,10,10
38,0,0,0,0,0,0,0,0,10,11,10
39,0,3,4,4,4,4,4,9,9,11,11
40,2,3,4,4,4,4,4,4,4,4,4
41,0,0,0,0,0,0,0,4,0,4,12
42,2,2,4,4,4,4,4,4,4,4,4
43,0,0,4,4,4,4,4,4,4,4,4
44,2,3,4,4,4,4,4,4,4,4,4
45,0,0,0,5,5,7,7,7,7,7,7
46,0,3,3,3,3,3,3,3,3,3,3
47,0,0,4,0,0,0,0,9,9,0,9
48,0,3,4,0,0,0,0,4,10,10,12
49,0,3,3,3,3,3,3,3,3,3,3
50,0,3,4,4,4,4,4,4,3,3,3
51,0,0,0,0,0,0,0,0,0,11,11
52,1,1,1,1,1,1,1,1,1,1,1
53,0,3,3,3,3,3,3,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
