,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,
0,1,1,4,4,4,0,
1,0,3,3,4,6,2,
2,2,2,4,4,4,0,
3,2,2,2,2,2,1,
4,1,1,4,4,4,0,
5,2,2,2,2,2,0,
6,2,2,2,2,6,1,
7,2,2,2,2,2,1,
8,1,1,1,1,1,2,
9,2,2,4,4,4,1,
10,2,2,2,2,2,1,
11,1,1,1,1,1,2,
12,2,2,2,2,2,1,
13,2,2,2,2,2,1,
14,2,2,2,2,2,1,
15,2,2,2,2,2,1,
16,2,2,2,2,2,1,
17,2,2,2,2,2,1,
18,2,2,2,2,2,1,
19,2,2,2,2,2,1,
20,2,2,2,2,2,1,
21,2,2,2,2,6,1,
22,2,2,2,2,2,1,
23,2,2,2,2,2,1,
24,2,2,2,2,2,1,
25,1,1,1,1,1,2,
26,2,3,3,3,3,2,
27,1,1,1,1,1,2,
28,1,3,3,3,3,2,
29,1,3,3,3,3,2,
30,1,3,3,3,3,2,
31,1,3,3,3,5,2,
32,1,1,1,1,1,2,
33,1,1,1,1,1,2,
34,1,1,1,1,1,2,
35,0,3,4,5,5,0,
36,1,1,1,1,1,2,
37,1,1,1,1,1,2,
38,1,1,1,1,1,2,
39,1,1,1,1,1,2,
40,1,1,1,1,1,2,
41,1,1,1,1,1,2,
42,1,1,1,1,1,2,
43,1,1,1,1,1,2,
44,1,1,1,1,1,2,
45,1,1,1,1,1,2,
46,1,1,1,1,1,2,
47,1,1,1,1,1,2,
48,1,1,1,1,1,2,
49,1,1,1,1,1,2,
50,1,3,3,3,3,2,
51,1,3,3,3,3,2,
52,1,3,3,3,3,2,
53,1,1,1,1,1,2,
54,99,99,99,99,99,99,
55,99,99,99,99,99,99,
Modularity,0.06616937395489919,0.06530320450241522,0.07235603993100412,0.07258496519789621,0.06810374446334469,0.07825380354182004,
NMI,0.6399733958785474,0.61520514157779727,0.73985937275651881,0.68497816501213671,0.63636932334149321,1.0,
Silhoutte,0.15672078,0.18614852,0.26841681,0.23948601,0.26893584,0.25267221,
