,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,0,1,4,4,5,7,3,0
1,0,3,3,3,6,6,2,0
2,99,99,99,99,99,99,99,99
3,2,3,3,3,3,3,2,1
4,2,2,2,2,2,2,3,2
5,2,2,3,3,6,6,2,0
6,0,3,3,3,6,6,2,0
7,1,1,1,1,1,1,2,3
8,1,1,1,1,1,1,2,3
9,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,2,3
11,1,1,1,1,1,1,2,4
12,1,1,1,1,1,1,2,3
13,1,1,1,1,3,3,2,1
14,1,1,1,1,1,1,2,3
15,1,1,1,1,1,1,2,3
16,1,1,1,1,1,1,2,3
17,1,1,1,1,1,1,2,3
18,1,1,1,1,1,1,2,3
19,1,1,1,1,1,1,2,3
20,1,1,1,1,1,1,2,3
21,1,1,1,3,6,1,2,3
22,1,1,1,1,1,1,2,4
23,2,3,3,5,3,3,2,1
24,1,3,3,3,3,3,2,1
25,1,1,1,1,1,1,2,4
26,2,2,2,2,2,2,3,5
27,2,2,2,2,2,2,3,5
28,1,1,1,1,1,1,2,2
29,2,2,2,2,2,2,3,2
30,1,1,2,1,2,2,2,4
31,1,1,1,1,1,7,2,4
32,1,1,1,1,1,7,2,4
33,2,2,2,2,2,2,3,5
34,2,2,2,2,2,2,3,2
35,2,2,4,4,5,2,3,0
36,2,2,2,5,2,5,3,5
37,2,2,2,2,2,2,3,5
38,0,0,0,5,4,5,3,0
39,2,2,2,5,2,5,3,5
40,1,1,4,4,4,4,3,6
41,1,1,1,4,4,4,3,6
42,1,1,4,4,4,4,3,6
43,2,2,2,2,2,2,3,5
44,2,2,2,2,2,2,3,5
45,2,1,1,1,5,7,2,4
46,2,2,2,2,2,2,3,2
47,2,2,2,2,2,2,3,2
48,2,1,1,1,1,7,2,4
49,2,2,2,2,2,2,3,2
50,2,2,2,2,2,2,3,5
51,2,2,2,2,2,2,3,5
52,0,0,0,0,0,7,3,0
53,2,2,2,2,2,2,3,5
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.06426390714533906,0.0745248052788855,0.08081468322228408,0.08582398792621762,0.08862517416265993,0.08869381423743802,0.11305466970971295,0.06624168367839672
NMI,0.27271304667193769,0.46678525503050616,0.56699915721520477,0.64173740560152681,0.55695085756815688,0.50658512989485405,1.0,0.47971287056918205
