,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,0,0,4,3,4,4
1,0,3,4,3,6,6
2,99,99,99,99,99,99
3,0,3,3,3,4,7
4,0,0,4,3,4,4
5,0,0,1,1,6,6
6,0,3,4,5,6,6
7,2,2,2,2,2,2
8,2,2,2,2,2,2
9,99,99,99,99,99,99
10,2,2,2,2,2,2
11,2,2,3,4,3,1
12,2,2,2,2,2,2
13,2,2,2,3,4,7
14,2,2,2,2,2,2
15,2,2,2,2,2,2
16,2,2,2,2,2,2
17,2,2,2,2,2,2
18,2,2,2,2,2,2
19,2,2,2,2,2,2
20,2,2,2,2,2,2
21,2,2,2,2,6,6
22,2,2,2,2,2,2
23,2,3,3,3,4,7
24,2,3,2,3,4,4
25,1,1,3,4,4,1
26,1,1,1,1,1,3
27,1,1,1,1,1,3
28,1,1,3,4,3,1
29,1,1,3,4,3,1
30,1,1,1,4,1,3
31,1,1,3,4,3,1
32,1,1,3,4,3,1
33,1,1,1,1,1,3
34,1,1,3,4,1,3
35,2,2,1,1,4,4
36,1,1,3,4,3,1
37,1,1,1,1,1,3
38,0,0,0,4,3,5
39,1,1,3,4,3,1
40,2,2,2,5,5,5
41,2,2,2,5,5,5
42,2,2,4,5,5,5
43,1,1,1,1,1,3
44,1,1,1,1,1,3
45,1,1,3,4,3,1
46,1,1,1,1,1,3
47,1,1,3,4,3,3
48,1,1,3,4,3,1
49,1,1,3,4,3,1
50,1,1,1,1,1,3
51,1,1,1,1,1,3
52,2,2,1,2,1,3
53,1,1,1,1,1,3
54,99,99,99,99,99,99
55,99,99,99,99,99,99
