,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,0,0,4,3,4,4,1,
1,0,3,4,3,6,6,1,
2,99,99,99,99,99,99,99,
3,0,3,3,3,4,7,3,
4,0,0,4,3,4,4,1,
5,0,0,1,1,6,6,3,
6,0,3,4,5,6,6,1,
7,2,2,2,2,2,2,3,
8,2,2,2,2,2,2,3,
9,99,99,99,99,99,99,99,
10,2,2,2,2,2,2,3,
11,2,2,3,4,3,1,4,
12,2,2,2,2,2,2,3,
13,2,2,2,3,4,7,3,
14,2,2,2,2,2,2,3,
15,2,2,2,2,2,2,3,
16,2,2,2,2,2,2,3,
17,2,2,2,2,2,2,3,
18,2,2,2,2,2,2,3,
19,2,2,2,2,2,2,3,
20,2,2,2,2,2,2,3,
21,2,2,2,2,6,6,3,
22,2,2,2,2,2,2,3,
23,2,3,3,3,4,7,3,
24,2,3,2,3,4,4,3,
25,1,1,3,4,4,1,4,
26,1,1,1,1,1,3,6,
27,1,1,1,1,1,3,6,
28,1,1,3,4,3,1,4,
29,1,1,3,4,3,1,4,
30,1,1,1,4,1,3,6,
31,1,1,3,4,3,1,4,
32,1,1,3,4,3,1,4,
33,1,1,1,1,1,3,6,
34,1,1,3,4,1,3,6,
35,2,2,1,1,4,4,6,
36,1,1,3,4,3,1,4,
37,1,1,1,1,1,3,6,
38,0,0,0,4,3,5,4,
39,1,1,3,4,3,1,4,
40,2,2,2,5,5,5,5,
41,2,2,2,5,5,5,5,
42,2,2,4,5,5,5,5,
43,1,1,1,1,1,3,6,
44,1,1,1,1,1,3,6,
45,1,1,3,4,3,1,4,
46,1,1,1,1,1,3,6,
47,1,1,3,4,3,3,4,
48,1,1,3,4,3,1,4,
49,1,1,3,4,3,1,4,
50,1,1,1,1,1,3,6,
51,1,1,1,1,1,3,6,
52,2,2,1,2,1,3,6,
53,1,1,1,1,1,3,6,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.08952897736457802,0.08196515120739377,0.08708052029074846,0.09417435901857679,0.09695798360607621,0.0942109016787381,0.11764527700304556,
NMI,0.52804000181373933,0.48851689748115223,0.72109413940290346,0.70965890216313299,0.7689663829402279,0.74252075835747833,1.0,
Silhoutte,0.25017539,0.23597201,0.19817663,0.25713781,0.30371246,0.30644451,0.275581,
