,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,4,4,4,4,4,0,0
1,1,1,1,5,5,6,6,0,1
2,0,3,4,4,4,4,4,0,0
3,2,2,2,2,2,2,2,2,2
4,0,3,4,4,4,4,4,0,0
5,2,2,2,2,2,2,2,2,3
6,0,1,1,5,5,6,6,0,1
7,1,1,1,5,5,6,6,0,1
8,2,2,2,2,2,2,2,2,2
9,1,3,4,4,6,5,8,2,4
10,1,3,4,4,6,5,8,2,4
11,1,3,4,4,6,5,8,2,4
12,2,2,2,2,2,2,2,2,3
13,1,3,4,4,6,5,8,2,4
14,2,2,2,2,6,5,8,2,4
15,2,2,2,2,2,2,2,2,3
16,2,2,2,2,2,2,2,2,3
17,2,2,2,2,2,2,2,2,3
18,2,2,2,2,2,2,2,2,3
19,2,2,2,2,2,2,2,2,3
20,2,2,2,2,2,2,2,2,4
21,2,2,2,2,2,2,2,2,3
22,2,2,2,2,2,2,2,2,3
23,1,3,3,3,3,3,3,3,2
24,0,3,3,3,3,3,3,3,5
25,1,1,3,3,3,3,3,1,6
26,0,3,3,3,3,3,3,3,5
27,1,1,1,1,1,1,1,1,7
28,1,1,1,1,1,1,1,1,7
29,1,1,1,1,1,1,1,1,7
30,2,1,1,1,1,7,7,1,2
31,0,3,3,3,4,7,7,2,6
32,0,3,3,3,4,7,7,2,6
33,2,2,2,2,2,2,2,2,3
34,1,1,1,1,1,1,1,1,2
35,1,1,4,1,1,1,1,1,2
36,1,1,1,1,1,1,1,1,2
37,1,1,1,1,1,1,1,1,2
38,0,0,0,0,0,0,0,1,6
39,1,1,1,1,1,1,1,1,2
40,2,2,2,5,5,7,5,3,8
41,2,3,3,5,5,7,5,3,8
42,2,2,2,5,5,7,5,3,8
43,1,3,3,3,3,3,3,3,5
44,1,1,1,1,1,1,1,1,7
45,1,1,1,1,1,1,1,1,7
46,1,1,1,1,1,1,1,1,7
47,1,1,1,1,1,1,1,2,2
48,1,1,1,1,1,1,1,1,7
49,1,1,1,1,1,1,1,1,7
50,2,3,3,3,3,3,3,3,5
51,1,1,1,1,1,1,1,1,7
52,1,1,1,1,1,1,1,1,7
53,1,1,1,1,1,1,1,1,7
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.06910420323492325,0.10036159127439652,0.10352972676559641,0.12900639049246845,0.13156823193612463,0.131414553200548,0.1327820543627134,0.14549523112362223,0.09844838519806236
NMI,0.28599196324263304,0.51531193285710342,0.48240676328842003,0.63093238532385298,0.68103853566350325,0.68081152323724414,0.71668230580185666,1.0,0.64764595404341563
