,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,2,2,2,5,6,6,6,5,5,2,0
1,0,0,0,0,0,7,7,7,7,2,1
2,2,3,3,5,6,6,6,5,5,2,0
3,0,3,3,3,3,3,3,3,3,0,2
4,2,2,2,5,6,6,6,5,5,2,0
5,0,0,0,4,4,4,8,9,9,2,1
6,0,0,0,0,0,7,7,7,7,2,1
7,0,0,4,4,4,4,4,4,4,2,3
8,0,3,4,4,4,4,4,4,4,2,3
9,0,3,3,3,3,3,3,3,3,0,2
10,0,3,3,3,3,3,3,9,9,2,3
11,1,1,4,4,4,4,8,9,9,2,3
12,0,0,4,4,4,4,8,9,9,2,3
13,1,3,3,3,3,3,3,3,3,0,2
14,2,2,2,2,2,2,2,2,2,0,4
15,2,2,2,2,2,2,2,2,2,0,4
16,2,2,2,2,2,2,2,2,2,0,4
17,2,2,2,2,2,2,2,2,2,0,4
18,2,2,2,2,2,2,2,2,2,0,4
19,2,0,0,0,0,0,0,0,0,0,4
20,2,2,2,2,2,2,2,2,2,0,4
21,2,2,2,2,2,2,2,2,2,0,4
22,99,99,99,99,99,99,99,99,99,99,99
23,1,3,3,3,3,3,3,3,3,7,2
24,1,1,1,1,1,1,1,1,1,7,1
25,1,1,1,1,1,1,1,1,1,7,5
26,2,2,2,2,2,2,2,2,2,0,4
27,2,2,2,2,2,2,2,2,2,0,4
28,1,1,1,1,5,5,5,6,6,7,5
29,1,1,1,1,1,1,1,1,1,7,5
30,1,3,3,3,5,5,5,8,8,7,2
31,0,0,0,0,0,0,0,0,0,0,1
32,0,3,3,3,3,7,8,8,8,7,2
33,1,1,1,1,1,1,1,1,1,7,5
34,1,1,1,1,1,1,1,8,8,7,1
35,2,2,2,5,6,6,6,5,5,2,0
36,0,3,4,4,4,4,4,4,4,2,3
37,0,0,3,3,4,0,4,8,10,6,1
38,1,1,1,1,1,1,1,1,1,7,5
39,1,1,1,1,1,1,1,1,1,7,5
40,1,1,1,5,5,5,5,6,6,7,6
41,1,1,1,1,1,1,1,1,1,7,5
42,99,99,99,99,99,99,99,99,99,99,99
43,1,1,1,5,5,5,5,6,6,7,6
44,99,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,1,1,1,1,7,5
47,0,0,0,0,0,0,7,8,10,6,1
48,1,1,1,1,1,1,1,1,1,7,5
49,1,1,1,5,5,5,5,6,6,7,6
50,1,1,1,1,1,1,1,1,1,7,5
51,1,1,1,1,1,1,1,1,1,7,5
52,1,1,1,1,1,1,1,1,1,7,1
53,1,1,1,1,1,1,1,1,1,7,5
54,1,3,1,5,5,5,5,6,6,7,6
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1731515252345324,0.16756091676002083,0.17914360774100943,0.16962916312934223,0.17199295211331053,0.17506166876364043,0.165786366248422,0.1673525896193769,0.16884689608334724,0.20088768676145163,0.16654032370009708
NMI,0.49758476664584322,0.45243305077627693,0.53212543154435221,0.54618897588175974,0.6130437604002501,0.65951756914827675,0.62552552693559094,0.67940989711060806,0.70989243898894039,1.0,0.589441533896221
