,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,4,0
1,0,0,0,0,0,7,8,8,8,8,8,2,1
2,1,1,1,5,6,7,7,7,7,7,7,0,2
3,0,3,3,3,3,3,3,3,3,3,3,1,3
4,0,0,4,4,4,4,4,4,4,4,4,4,0
5,1,1,4,4,4,4,4,4,4,4,4,4,4
6,0,0,0,0,0,7,8,8,8,8,8,2,1
7,1,1,4,1,6,7,8,8,8,8,8,2,4
8,0,0,0,5,5,5,5,5,5,5,5,3,5
9,0,0,0,5,6,7,7,7,7,7,7,0,2
10,1,1,4,1,1,1,1,1,1,1,1,0,4
11,1,1,4,1,1,1,1,1,9,9,9,4,4
12,1,1,4,1,1,1,1,1,1,1,1,0,4
13,1,3,3,3,3,1,0,3,3,1,0,1,4
14,1,1,1,1,1,1,1,1,1,11,11,0,2
15,1,1,1,1,1,1,1,1,1,1,1,0,2
16,1,1,4,1,1,1,1,1,1,1,1,0,4
17,1,1,1,1,1,1,1,1,10,10,10,0,2
18,1,1,1,1,1,1,1,1,1,1,1,0,2
19,2,2,1,4,4,7,7,6,10,10,10,0,2
20,1,1,1,1,1,1,1,1,1,1,1,0,2
21,1,1,4,1,1,1,1,1,1,1,1,0,4
22,2,2,2,2,2,2,2,2,2,2,2,3,6
23,1,1,1,5,6,7,7,7,7,7,7,0,2
24,2,2,2,2,2,2,2,2,2,2,2,3,6
25,0,0,1,0,0,0,0,0,6,11,11,0,2
26,2,2,2,2,2,2,2,2,2,2,2,3,6
27,0,0,1,4,1,7,7,9,10,10,10,0,2
28,1,1,4,1,1,1,1,1,9,9,9,4,4
29,2,2,2,2,6,6,6,2,9,9,9,3,6
30,0,3,3,3,3,3,3,3,3,3,3,1,3
31,0,3,3,3,3,3,3,3,3,3,3,1,3
32,0,3,3,3,3,3,3,3,3,3,3,1,3
33,0,3,3,3,3,3,3,3,3,3,3,1,3
34,1,3,3,3,6,6,6,6,6,6,12,1,1
35,2,2,4,4,4,4,4,4,4,4,4,4,0
36,0,0,0,5,5,5,5,5,5,5,5,3,5
37,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,0,12,3,1
39,2,2,2,0,6,6,6,6,9,9,12,3,1
40,2,2,2,2,6,6,6,6,6,6,6,3,1
41,1,1,0,1,6,6,6,6,6,6,6,3,1
42,0,0,0,0,6,6,6,6,6,6,6,3,1
43,2,2,2,2,2,2,2,2,2,2,2,3,6
44,2,2,2,2,6,6,6,9,9,9,9,3,1
45,2,2,2,2,2,2,2,2,2,2,2,3,6
46,2,2,2,5,5,5,5,5,5,5,5,3,5
47,0,0,0,5,5,5,5,5,9,9,9,4,1
48,2,2,2,2,5,2,5,5,5,5,5,3,5
49,0,3,3,3,3,3,3,3,3,3,3,1,1
50,2,2,2,2,2,2,2,2,2,2,2,3,6
51,2,2,2,2,2,2,2,2,2,2,2,3,6
52,2,2,2,2,2,2,2,2,2,2,2,3,6
53,2,2,2,2,2,2,2,2,2,9,2,3,6
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1439217806117165,0.16241227927433075,0.18530952883138635,0.16860076207553137,0.16332663634659944,0.17777938900008677,0.1748405313699109,0.1746569435332281,0.16723078493482593,0.16238802942898542,0.15814001311231976,0.2066054836745381,0.17330550432207897
NMI,0.28969271258516627,0.50227598929073569,0.67800580923341092,0.5500335327839061,0.55804820606363992,0.62071953491137066,0.66693219085857658,0.64468628438672604,0.68539277280172095,0.66259045571584951,0.69849699457892389,1.0,0.57299329617341432
