,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,0,0,0,6,6,6,6,6,0,
1,2,3,2,2,2,7,8,8,8,1,
2,1,3,3,3,3,3,3,3,3,2,
3,1,1,4,4,4,4,4,4,4,1,
4,0,0,0,0,6,6,6,6,6,0,
5,1,1,1,1,1,1,1,1,2,1,
6,2,2,2,2,2,7,8,8,8,1,
7,1,1,4,4,4,4,8,8,8,1,
8,1,1,1,1,1,1,5,9,9,1,
9,1,1,4,4,4,4,4,4,4,1,
10,1,1,4,4,4,4,4,4,4,1,
11,0,0,0,2,2,2,7,7,7,3,
12,1,1,1,1,1,1,1,1,1,1,
13,1,1,4,4,4,4,4,4,4,1,
14,0,0,0,1,1,1,1,1,1,1,
15,1,1,1,1,1,1,1,1,1,1,
16,2,2,2,3,3,3,3,3,3,2,
17,1,1,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,1,1,
20,1,3,3,3,3,3,3,3,3,2,
21,1,1,1,1,1,1,1,1,8,1,
22,1,3,3,3,3,3,3,3,3,2,
23,1,1,4,4,4,4,4,4,4,1,
24,2,1,4,4,4,4,4,4,4,1,
25,1,1,1,1,1,1,1,1,1,1,
26,1,1,4,0,4,7,7,7,7,1,
27,2,2,2,2,2,2,2,2,2,3,
28,1,3,3,3,3,3,3,3,3,2,
29,2,2,2,2,2,2,2,2,2,3,
30,1,3,3,3,3,3,3,3,3,2,
31,0,3,3,3,3,3,3,3,3,2,
32,1,3,3,3,3,3,3,3,3,2,
33,1,3,3,3,3,3,3,3,3,2,
34,2,2,2,2,2,0,0,2,10,2,
35,2,2,2,2,6,6,6,2,2,3,
36,2,2,2,2,2,2,2,9,9,3,
37,1,1,4,5,5,0,0,9,10,3,
38,1,1,4,0,0,4,4,9,10,3,
39,2,2,2,2,2,2,2,2,2,3,
40,2,2,2,5,5,5,5,5,5,3,
41,1,1,1,5,5,5,5,5,5,3,
42,2,2,2,5,5,5,5,5,5,3,
43,2,2,2,5,5,5,5,5,5,3,
44,2,2,2,2,2,2,2,2,2,3,
45,2,2,2,5,5,7,7,7,7,3,
46,2,2,2,2,2,2,2,2,2,3,
47,2,2,2,2,2,2,2,2,2,3,
48,2,2,2,2,2,2,2,2,2,3,
49,2,2,2,3,2,3,3,3,2,2,
50,2,2,4,4,4,7,7,7,2,3,
51,2,2,4,4,4,4,4,4,2,1,
52,0,1,4,4,4,4,4,4,4,1,
53,2,2,2,2,2,2,2,2,2,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.09522024370541801,0.11021564405428202,0.10383316852114782,0.11123043792997883,0.11240291303986932,0.11798615351198205,0.10769153158888212,0.11217194083678858,0.10740256781516389,0.14761550275464505,
NMI,0.23894412234884449,0.51071311753880944,0.48680688679164152,0.61170446961465885,0.60713137227620007,0.65757047510140898,0.62311478593764913,0.66348335008700332,0.58007507624172228,1.0,
Silhoutte,0.08839308,0.10798473,0.1157082,0.14216984,0.14593586,0.17763266,0.17309655,0.21405778,0.21884419,0.14150431,
