,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
3,0,2,4,4,4,4,4,4
4,2,2,2,2,2,2,2,2
5,0,3,2,2,2,2,8,1
6,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2
8,0,3,3,3,6,6,6,6
9,0,3,4,4,5,5,5,5
10,2,2,2,2,2,7,7,7
11,1,1,1,1,6,7,7,7
12,2,2,2,2,2,2,2,2
13,0,0,4,5,5,5,5,5
14,2,2,4,5,5,5,5,5
15,1,3,3,3,3,3,3,3
16,0,3,3,3,6,6,6,6
17,1,3,3,3,3,3,3,3
18,1,3,3,3,3,3,3,3
19,2,3,3,3,3,3,3,3
20,1,3,3,3,3,3,3,3
21,1,3,3,3,3,3,3,3
22,99,99,99,99,99,99,99,99
23,0,0,0,5,5,5,5,5
24,1,2,1,5,5,5,5,5
25,99,99,99,99,99,99,99,99
26,2,2,0,5,5,5,5,5
27,1,1,1,1,1,7,7,7
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,0,0,4,4,4,4,4,4
31,0,0,4,4,4,4,4,4
32,0,3,4,4,4,4,4,4
33,1,1,1,1,1,1,1,1
34,99,99,99,99,99,99,99,99
35,2,2,2,2,2,2,2,2
36,1,1,1,1,6,6,6,6
37,1,1,4,3,3,3,8,8
38,1,1,1,1,1,1,1,8
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,99,99,99,99,99,99,99,99
42,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,7,7,7
46,0,0,4,2,3,3,8,8
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,9
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
